[I 2026-07-17 15:03:41,491] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:09:54,238] Trial 44 finished with value: -0.02590172528183187 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2500, 'learning_rate': 0.06625878787736933, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 7.991041336375804e-05, 'reg_lambda': 0.732418266723384, 'gamma': 0.015146142782180365}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:10:02,619] Trial 45 finished with value: -0.02591650308166675 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.06773652398109314, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.07334185775290532, 'reg_lambda': 0.8893447412745905, 'gamma': 0.00015392086401858621}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:10:09,065] Trial 46 finished with value: -0.024860709687132967 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.06435195878273721, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.05741361716796899, 'reg_lambda': 0.7234604762021237, 'gamma': 0.00017612736712135276}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:10:15,881] Trial 47 finished with value: -0.02512913257210564 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.08115347343267727, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.06573651527394334, 'reg_lambda': 0.7325146745908255, 'gamma': 0.00019477222237363896}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:10:24,637] Trial 48 finished with value: -0.04190117350992853 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.47030376442853294, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.4386446781980841, 'reg_lambda': 0.9857615343721711, 'gamma': 0.00013135715249224176}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:10:32,639] Trial 49 finished with value: -0.03833351520961484 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.4739115893367431, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.7120527291623779, 'reg_lambda': 0.6807239421852828, 'gamma': 0.00023068432698831695}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:10:52,285] Trial 50 finished with value: -0.04856430355963322 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.4709679801140913, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.49625169215975623, 'reg_lambda': 22.338299946797147, 'gamma': 0.00018167926563575124}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:11:08,930] Trial 51 finished with value: -0.048538723141165044 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2450, 'learning_rate': 0.43552922218984175, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.4340947430007941, 'reg_lambda': 24.069866943639386, 'gamma': 0.00011380249432821193}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:11:23,805] Trial 52 finished with value: -0.047584778475608304 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.44834024338086964, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.4774641491440559, 'reg_lambda': 25.036477808874196, 'gamma': 0.0001489200751488118}. Best is trial 29 with value: -0.05279429003585783.
[I 2026-07-17 15:11:35,915] Trial 53 finished with value: -0.049819953671226734 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.49881213450406237, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.5490080643501293, 'reg_lambda': 2.4616919032320945, 'gamma': 0.0034095461825629616}. Best is trial 29 with value: -0.05279429003585783.
