[I 2026-07-17 12:33:01,460] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 12:36:19,700] Trial 37 finished with value: -0.14997965600488555 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.22284301343498455, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 1.080548520860621, 'reg_lambda': 88.64117175676977, 'gamma': 0.0007478891667831874}. Best is trial 37 with value: -0.14997965600488555.
[I 2026-07-17 12:36:30,926] Trial 38 finished with value: -0.182496241722052 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2550, 'learning_rate': 0.49814827572263426, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0002325398083780835, 'reg_lambda': 0.00034705385123274385, 'gamma': 0.0006159640988847711}. Best is trial 38 with value: -0.182496241722052.
[I 2026-07-17 12:36:41,286] Trial 39 finished with value: -0.18314062263821967 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.4576307108403704, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 1.8422940544751978, 'reg_lambda': 3.6168254827881436e-05, 'gamma': 4.336662871929568e-06}. Best is trial 39 with value: -0.18314062263821967.
[I 2026-07-17 12:36:45,722] Trial 40 finished with value: -0.15872231933029457 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1050, 'learning_rate': 0.41650252866455356, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 8.183244060308285e-05, 'reg_lambda': 2.8964644309542205e-05, 'gamma': 0.0005793745372966408}. Best is trial 39 with value: -0.18314062263821967.
[I 2026-07-17 12:36:53,965] Trial 41 finished with value: -0.26068351270369455 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.39897288201576664, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00014943138708102178, 'reg_lambda': 3.189453311611249e-05, 'gamma': 0.0006760719403357054}. Best is trial 41 with value: -0.26068351270369455.
[I 2026-07-17 12:37:02,254] Trial 42 finished with value: -0.24872398486063088 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.45685629072008477, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0002139852212901612, 'reg_lambda': 2.8219778177347053e-05, 'gamma': 0.044555949544852175}. Best is trial 41 with value: -0.26068351270369455.
[I 2026-07-17 12:37:11,275] Trial 43 finished with value: -0.23285154725866455 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.4093849117126788, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00015371384654433765, 'reg_lambda': 3.2757838520783175e-05, 'gamma': 0.022585571962590072}. Best is trial 41 with value: -0.26068351270369455.
[I 2026-07-17 12:37:18,228] Trial 44 finished with value: -0.18454376482071166 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.4859030125326114, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 5.683764830791912e-05, 'reg_lambda': 2.0659531977279163e-05, 'gamma': 0.16096835129322778}. Best is trial 41 with value: -0.26068351270369455.
[I 2026-07-17 12:37:21,196] Trial 45 finished with value: -0.06677280344492771 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.4541226060925727, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 2.360753823274399, 'reg_lambda': 0.06207179833788772, 'gamma': 0.17841318140703652}. Best is trial 41 with value: -0.26068351270369455.
[I 2026-07-17 12:37:33,384] Trial 46 finished with value: -0.18192619572880003 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2550, 'learning_rate': 0.46696029738964134, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.5101309810664682e-05, 'reg_lambda': 0.055225644183164106, 'gamma': 0.001997344326569335}. Best is trial 41 with value: -0.26068351270369455.
[I 2026-07-17 12:37:44,049] Trial 47 finished with value: -0.17386807493014078 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2600, 'learning_rate': 0.3640397466531256, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.1879128054925727, 'reg_lambda': 1.606790069458834e-05, 'gamma': 0.036261765039510944}. Best is trial 41 with value: -0.26068351270369455.
[I 2026-07-17 12:37:52,350] Trial 48 finished with value: -0.1788442241572206 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2600, 'learning_rate': 0.4850945911794744, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.7484943778454778, 'reg_lambda': 2.3917589533839296e-05, 'gamma': 0.04104112454170164}. Best is trial 41 with value: -0.26068351270369455.
[I 2026-07-17 12:37:55,136] Trial 49 finished with value: -0.06613502875969915 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2550, 'learning_rate': 0.4722011342047202, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.713766234945445, 'reg_lambda': 1.6218537848197077e-05, 'gamma': 0.4179607846791825}. Best is trial 41 with value: -0.26068351270369455.
[I 2026-07-17 12:38:06,501] Trial 50 finished with value: -0.27081357073699736 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.4771516558759803, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.3561290325389043e-05, 'reg_lambda': 1.8606716208034537e-05, 'gamma': 0.06189466834778621}. Best is trial 50 with value: -0.27081357073699736.
[I 2026-07-17 12:38:17,722] Trial 51 finished with value: -0.27420277571263807 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.480033755442792, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.5580114756960282e-05, 'reg_lambda': 5.078290860184248e-06, 'gamma': 0.049069112767206984}. Best is trial 51 with value: -0.27420277571263807.
[I 2026-07-17 12:38:28,834] Trial 52 finished with value: -0.22857762467447318 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.3687652736917867, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 4.379244728329538e-06, 'reg_lambda': 5.288297768719846e-06, 'gamma': 0.08931838160945228}. Best is trial 51 with value: -0.27420277571263807.
[I 2026-07-17 12:38:40,225] Trial 53 finished with value: -0.21212234558059603 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.32651474597318014, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 8.351232997514849e-06, 'reg_lambda': 4.192401285512503e-06, 'gamma': 0.03842258669982039}. Best is trial 51 with value: -0.27420277571263807.
