[I 2026-07-17 13:38:07,105] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 13:42:10,160] Trial 32 finished with value: -0.06608830899201408 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.2704186861200833, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 2.75118807155431e-05, 'reg_lambda': 2.2354822447324132e-05, 'gamma': 0.03400949232585484}. Best is trial 28 with value: -0.07236659574065588.
[I 2026-07-17 13:42:14,496] Trial 33 finished with value: -0.04443887130380704 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.3856784121681137, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 1.7389566681194556e-05, 'reg_lambda': 0.006255146787061351, 'gamma': 1.550748704940339e-05}. Best is trial 28 with value: -0.07236659574065588.
[I 2026-07-17 13:42:26,510] Trial 34 finished with value: -0.0710873556467248 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.40175397078852726, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 3.17496548341135e-05, 'reg_lambda': 0.00993278831680108, 'gamma': 0.0782784232738969}. Best is trial 28 with value: -0.07236659574065588.
[I 2026-07-17 13:42:40,746] Trial 35 finished with value: -0.07168909854360093 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.3944032808109398, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 2.1830541706215718e-05, 'reg_lambda': 0.005828972950805422, 'gamma': 0.0515852380521414}. Best is trial 28 with value: -0.07236659574065588.
[I 2026-07-17 13:42:48,796] Trial 36 finished with value: -0.06678006612621197 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.482776608822966, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 3.6160232025706604e-05, 'reg_lambda': 0.01937475529075392, 'gamma': 0.1773812536976872}. Best is trial 28 with value: -0.07236659574065588.
[I 2026-07-17 13:42:53,124] Trial 37 finished with value: -0.04610369547212421 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.44905921890258804, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 4.356236078676879e-05, 'reg_lambda': 0.02007042670658742, 'gamma': 0.18156919091219403}. Best is trial 28 with value: -0.07236659574065588.
[I 2026-07-17 13:43:02,522] Trial 38 finished with value: -0.07726490067027791 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2300, 'learning_rate': 0.48541131956417216, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.0769157868156244e-05, 'reg_lambda': 0.016853402442004208, 'gamma': 0.12988742462119043}. Best is trial 38 with value: -0.07726490067027791.
[I 2026-07-17 13:43:11,043] Trial 39 finished with value: -0.08638310642761245 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.49732874823496903, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 2.1190237295171972e-05, 'reg_lambda': 0.06798383014182396, 'gamma': 0.11077363556990555}. Best is trial 39 with value: -0.08638310642761245.
[I 2026-07-17 13:43:16,620] Trial 40 finished with value: -0.07361257894379551 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.4444405848095268, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 2.604428322831987e-05, 'reg_lambda': 0.0770646594131227, 'gamma': 0.20120506010559713}. Best is trial 39 with value: -0.08638310642761245.
[I 2026-07-17 13:43:20,298] Trial 41 finished with value: -0.03199630530136544 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.04267695653305701, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00011676871651187944, 'reg_lambda': 0.10975915144068317, 'gamma': 0.17684026651713844}. Best is trial 39 with value: -0.08638310642761245.
[I 2026-07-17 13:43:27,913] Trial 42 finished with value: -0.03630561475150019 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.04142026417960573, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00011887134065536989, 'reg_lambda': 0.04705302454510194, 'gamma': 0.1620467797987892}. Best is trial 39 with value: -0.08638310642761245.
[I 2026-07-17 13:43:38,463] Trial 43 finished with value: -0.07209171237607351 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2150, 'learning_rate': 0.4752413056150111, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00011959656692359947, 'reg_lambda': 0.05768394674894376, 'gamma': 0.14707727238593554}. Best is trial 39 with value: -0.08638310642761245.
[I 2026-07-17 13:43:39,922] Trial 44 finished with value: -0.027470540749330415 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2150, 'learning_rate': 0.3400908971212484, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.000151847290669106, 'reg_lambda': 0.06720272296937989, 'gamma': 0.7002058217778184}. Best is trial 39 with value: -0.08638310642761245.
[I 2026-07-17 13:43:52,764] Trial 45 finished with value: -0.04470842764638433 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2100, 'learning_rate': 0.047287906781513935, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.000163441312309779, 'reg_lambda': 0.22400004511005298, 'gamma': 0.0013137991035061635}. Best is trial 39 with value: -0.08638310642761245.
[I 2026-07-17 13:43:55,076] Trial 46 finished with value: -0.02731131909411889 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.046462191404649744, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0006690167524852871, 'reg_lambda': 0.09267444774123618, 'gamma': 0.5735198540395016}. Best is trial 39 with value: -0.08638310642761245.
[I 2026-07-17 13:43:57,106] Trial 47 finished with value: -0.02764862872397164 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.0485459980937587, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00015129676342500554, 'reg_lambda': 0.07419436136895664, 'gamma': 0.7814200801439283}. Best is trial 39 with value: -0.08638310642761245.
