[I 2026-07-17 15:36:30,422] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:40:12,431] Trial 33 finished with value: -0.12374229936845468 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1200, 'learning_rate': 0.15674127294683238, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 2.8968228510005776e-05, 'reg_lambda': 0.007525663349694849, 'gamma': 2.0681466698926287e-06}. Best is trial 18 with value: -0.14006438333083687.
[I 2026-07-17 15:40:22,581] Trial 34 finished with value: -0.06909368374560385 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1050, 'learning_rate': 0.023205619632828377, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 1.8489846289857557e-05, 'reg_lambda': 0.007112962797927188, 'gamma': 3.1594776547610083e-06}. Best is trial 18 with value: -0.14006438333083687.
[I 2026-07-17 15:40:32,412] Trial 35 finished with value: -0.14642009263950137 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1200, 'learning_rate': 0.16708514601171012, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0005980515189881934, 'reg_lambda': 0.00018280096265482513, 'gamma': 5.232017706981871e-06}. Best is trial 35 with value: -0.14642009263950137.
[I 2026-07-17 15:40:49,460] Trial 36 finished with value: -0.11830450728674634 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.17895267249607186, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 1.3911603562519888e-05, 'reg_lambda': 0.0001579758886151395, 'gamma': 0.0011630068137983777}. Best is trial 35 with value: -0.14642009263950137.
[I 2026-07-17 15:41:05,056] Trial 37 finished with value: -0.09562536226489421 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.027006578443532, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 1.1803206112058677e-05, 'reg_lambda': 0.00020051448200370122, 'gamma': 0.0010774855201269177}. Best is trial 35 with value: -0.14642009263950137.
[I 2026-07-17 15:41:15,423] Trial 38 finished with value: -0.08828273042995789 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.24742204829878908, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 6.329879398744607e-06, 'reg_lambda': 0.016735524785804937, 'gamma': 0.004571243709307111}. Best is trial 35 with value: -0.14642009263950137.
[I 2026-07-17 15:41:33,733] Trial 39 finished with value: -0.16078947892822332 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.22094410093332795, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.0883392694302e-05, 'reg_lambda': 0.0002958796359678139, 'gamma': 0.0033162017463996647}. Best is trial 39 with value: -0.16078947892822332.
[I 2026-07-17 15:41:48,221] Trial 40 finished with value: -0.07297237503524524 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.020552349012417783, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.000562664924257396, 'reg_lambda': 0.0310272150242133, 'gamma': 0.0009563276253272048}. Best is trial 39 with value: -0.16078947892822332.
[I 2026-07-17 15:42:04,081] Trial 41 finished with value: -0.0817966175176281 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.022569489998072435, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0006833455911511688, 'reg_lambda': 0.019375032653558784, 'gamma': 0.0009761202202837423}. Best is trial 39 with value: -0.16078947892822332.
[I 2026-07-17 15:42:10,240] Trial 42 finished with value: -0.1337098134403705 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 750, 'learning_rate': 0.2637165922607059, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00039725883163081716, 'reg_lambda': 0.049109608661401384, 'gamma': 0.0009946763481385582}. Best is trial 39 with value: -0.16078947892822332.
[I 2026-07-17 15:42:15,475] Trial 43 finished with value: -0.12806783639510963 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.24794723982687386, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00047635625541300606, 'reg_lambda': 0.027802149772219526, 'gamma': 0.0013072579864321446}. Best is trial 39 with value: -0.16078947892822332.
[I 2026-07-17 15:42:32,896] Trial 44 finished with value: -0.08756929932376059 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.0318998827835605, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00070958988836276, 'reg_lambda': 0.027697539187766247, 'gamma': 0.0008110716740861604}. Best is trial 39 with value: -0.16078947892822332.
[I 2026-07-17 15:42:56,407] Trial 45 finished with value: -0.1923133435857169 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.3236056966673774, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0007723292343096649, 'reg_lambda': 0.01908542781030465, 'gamma': 0.015383531014791967}. Best is trial 45 with value: -0.1923133435857169.
