[I 2026-07-17 11:42:43,519] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:47:29,406] Trial 34 finished with value: -0.1855153542278975 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.09361029645393235, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 5.341032928240329, 'reg_lambda': 2.4732465165880915e-05, 'gamma': 6.366536163468658}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:47:45,602] Trial 35 finished with value: -0.183100267525663 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.07214065423965435, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 5.39951782833405, 'reg_lambda': 3.279241004511156e-05, 'gamma': 6.298434681207112e-05}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:48:11,383] Trial 36 finished with value: -0.2015631800681219 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.05551600005445818, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 2.0004553258048983, 'reg_lambda': 1.8059921351284484e-06, 'gamma': 3.061525295127714e-05}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:48:31,033] Trial 37 finished with value: -0.18561315984850488 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.060211719375942246, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 2.9493719528420317, 'reg_lambda': 1.1100783752926107e-06, 'gamma': 1.927759243292353e-05}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:48:34,121] Trial 38 finished with value: -0.2178499734305392 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1850, 'learning_rate': 0.05805886525289725, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.002351647994089638, 'reg_lambda': 0.20803398106992366, 'gamma': 80.80624615387019}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:48:36,831] Trial 39 finished with value: -0.20238448548829935 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.04348507529029101, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0027905049387921235, 'reg_lambda': 1.1089415413168732e-06, 'gamma': 31.15075184915007}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:48:39,511] Trial 40 finished with value: -0.2208098599175483 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.05462885601468613, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.003346798268050067, 'reg_lambda': 1.9045095252939527e-06, 'gamma': 84.90962210298358}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:48:42,093] Trial 41 finished with value: -0.22081861551671594 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1850, 'learning_rate': 0.05307465706578666, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.002563089319775082, 'reg_lambda': 1.4643778792118078, 'gamma': 93.46940359710831}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:48:44,711] Trial 42 finished with value: -0.22080886121099974 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.04082161260371098, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0027452220720862084, 'reg_lambda': 1.8978450195490633e-06, 'gamma': 90.77205632659316}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:48:48,468] Trial 43 finished with value: -0.22039411960368038 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.03936091943249705, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.004318823904012562, 'reg_lambda': 1.759890408197154e-06, 'gamma': 86.89128934655399}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:48:52,416] Trial 44 finished with value: -0.215308327319428 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.19550811217593123, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.001552705595756743, 'reg_lambda': 0.9855128215417706, 'gamma': 82.89031766865693}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:48:56,127] Trial 45 finished with value: -0.22077999636949522 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2300, 'learning_rate': 0.20458002439393158, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.006436869071526314, 'reg_lambda': 0.5653713945164441, 'gamma': 91.41689038096705}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:48:59,850] Trial 46 finished with value: -0.19332626050667764 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2300, 'learning_rate': 0.2008986788437971, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 2.4541086995078622e-05, 'reg_lambda': 1.0796284621336718, 'gamma': 23.7769165849258}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:49:34,465] Trial 47 finished with value: -0.24782064510304777 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.18755956834095747, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 3.049028686525221e-05, 'reg_lambda': 7.170454208779315e-06, 'gamma': 1.3197656213570877e-06}. Best is trial 47 with value: -0.24782064510304777.
[I 2026-07-17 11:49:38,113] Trial 48 finished with value: -0.19270488339024522 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.19209525070442038, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 2.291012772155702e-05, 'reg_lambda': 6.1545376832159634e-06, 'gamma': 22.05028103740292}. Best is trial 47 with value: -0.24782064510304777.
[I 2026-07-17 11:49:41,370] Trial 49 finished with value: -0.19367912365387835 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.20357387240095498, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 3.999631802364705e-05, 'reg_lambda': 0.7965770063787919, 'gamma': 20.811948650245395}. Best is trial 47 with value: -0.24782064510304777.
[I 2026-07-17 11:49:45,141] Trial 50 finished with value: -0.19067367872446983 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.20698609117647307, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 3.321618382378745e-05, 'reg_lambda': 0.999063599192938, 'gamma': 18.150467329837856}. Best is trial 47 with value: -0.24782064510304777.
[I 2026-07-17 11:49:48,844] Trial 51 finished with value: -0.19203240527434776 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.2096945638803338, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 1.948525931522916e-05, 'reg_lambda': 5.936882905448476e-06, 'gamma': 19.158522788669178}. Best is trial 47 with value: -0.24782064510304777.
[I 2026-07-17 11:50:08,811] Trial 52 finished with value: -0.2353989437823268 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2200, 'learning_rate': 0.18899039850714, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.013757289978445093, 'reg_lambda': 7.897169755614223e-06, 'gamma': 1.0959027581909655e-06}. Best is trial 47 with value: -0.24782064510304777.
[I 2026-07-17 11:50:25,081] Trial 53 finished with value: -0.221575366559633 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.17796467489085774, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 2.852795209476789e-05, 'reg_lambda': 9.056894989227732e-06, 'gamma': 0.004311864230587189}. Best is trial 47 with value: -0.24782064510304777.
[I 2026-07-17 11:50:48,411] Trial 54 finished with value: -0.18954536625384671 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.009320812914331674, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.453376432602631, 'reg_lambda': 5.5121290043154875e-06, 'gamma': 0.004078925656070134}. Best is trial 47 with value: -0.24782064510304777.
