[I 2026-07-17 15:00:36,259] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:05:48,284] Trial 42 finished with value: -0.17853894448074303 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1500, 'learning_rate': 0.4625390523514618, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.7620542532354031, 'reg_lambda': 61.83192885669817, 'gamma': 0.0004093558166976455}. Best is trial 40 with value: -0.19936911789848752.
[I 2026-07-17 15:05:59,457] Trial 43 finished with value: -0.1674620994329592 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.4782435742503636, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.5786479529842565, 'reg_lambda': 89.52494672124531, 'gamma': 0.00023684277219971042}. Best is trial 40 with value: -0.19936911789848752.
[I 2026-07-17 15:06:03,904] Trial 44 finished with value: -0.0973598157178737 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.49398689341455126, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.31027898128968906, 'reg_lambda': 41.19958191581079, 'gamma': 0.0002968251858343779}. Best is trial 40 with value: -0.19936911789848752.
[I 2026-07-17 15:06:12,042] Trial 45 finished with value: -0.10371147114636786 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.4266426796365966, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.011805512764190495, 'reg_lambda': 84.06412746915238, 'gamma': 0.00033982003496115816}. Best is trial 40 with value: -0.19936911789848752.
[I 2026-07-17 15:06:20,298] Trial 46 finished with value: -0.10738308302973827 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.48479262068220974, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.32379050813834703, 'reg_lambda': 82.70208516404195, 'gamma': 0.0002821517337195667}. Best is trial 40 with value: -0.19936911789848752.
[I 2026-07-17 15:06:28,239] Trial 47 finished with value: -0.11272535239783193 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.43061422072866024, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.48416592251482204, 'reg_lambda': 93.02649469337594, 'gamma': 0.00027563139834860023}. Best is trial 40 with value: -0.19936911789848752.
[I 2026-07-17 15:06:36,375] Trial 48 finished with value: -0.11769853715328762 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.47337986892165573, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.34267137693450417, 'reg_lambda': 94.98883580218511, 'gamma': 0.0004489278705852489}. Best is trial 40 with value: -0.19936911789848752.
[I 2026-07-17 15:06:56,349] Trial 49 finished with value: -0.2107348261132232 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.49518755297064776, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.015244368805769536, 'reg_lambda': 30.275695129985323, 'gamma': 0.00030870810960592415}. Best is trial 49 with value: -0.2107348261132232.
[I 2026-07-17 15:07:14,514] Trial 50 finished with value: -0.17297222094123332 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.308834098541641, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.29741530528471005, 'reg_lambda': 28.763039985713196, 'gamma': 0.00037264657855446694}. Best is trial 49 with value: -0.2107348261132232.
[I 2026-07-17 15:07:23,269] Trial 51 finished with value: -0.15295833217034696 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1500, 'learning_rate': 0.2876220277388444, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.0621574302796652, 'reg_lambda': 29.78128971219832, 'gamma': 0.00033650563389437483}. Best is trial 49 with value: -0.2107348261132232.
[I 2026-07-17 15:07:33,052] Trial 52 finished with value: -0.1435849313191811 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.2441244224580509, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.6380881163480061, 'reg_lambda': 25.627473402192763, 'gamma': 0.0003208801284497281}. Best is trial 49 with value: -0.2107348261132232.
[I 2026-07-17 15:07:42,373] Trial 53 finished with value: -0.14231558420374646 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.21407286558301578, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.555600253030318, 'reg_lambda': 32.55012447800118, 'gamma': 0.00024224906144667491}. Best is trial 49 with value: -0.2107348261132232.
[I 2026-07-17 15:07:49,962] Trial 54 finished with value: -0.1412751795381129 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.24878197688777018, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 1.0463752710996048, 'reg_lambda': 24.184792351685342, 'gamma': 0.014508067915643134}. Best is trial 49 with value: -0.2107348261132232.
