[I 2026-07-17 12:07:29,063] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 12:11:10,746] Trial 32 finished with value: -0.05819670892286026 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1050, 'learning_rate': 0.0020146212123192896, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 3.4431077937247404e-05, 'reg_lambda': 0.0003560289145232774, 'gamma': 0.022136126118423825}. Best is trial 25 with value: -0.08121640044757476.
[I 2026-07-17 12:11:23,410] Trial 33 finished with value: -0.06002397591323008 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1050, 'learning_rate': 0.002721160398571266, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00010776441615023982, 'reg_lambda': 8.002402938997652e-06, 'gamma': 0.012258521663962333}. Best is trial 25 with value: -0.08121640044757476.
[I 2026-07-17 12:11:32,717] Trial 34 finished with value: -0.0600106564446036 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1000, 'learning_rate': 0.002565880423539246, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00013912176884126965, 'reg_lambda': 1.2090708142799692e-05, 'gamma': 0.014180063947217774}. Best is trial 25 with value: -0.08121640044757476.
[I 2026-07-17 12:11:41,249] Trial 35 finished with value: -0.05941771502595378 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1050, 'learning_rate': 0.0019731112091086658, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.07691397541566042, 'reg_lambda': 1.427091628977624e-05, 'gamma': 0.02454385860137109}. Best is trial 25 with value: -0.08121640044757476.
[I 2026-07-17 12:11:53,698] Trial 36 finished with value: -0.06098027817421556 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1100, 'learning_rate': 0.001974019460087147, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 8.747747820192045e-05, 'reg_lambda': 1.3926784818870359e-05, 'gamma': 0.00016612016993024624}. Best is trial 25 with value: -0.08121640044757476.
[I 2026-07-17 12:12:02,062] Trial 37 finished with value: -0.0934697926675258 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.036445571723274145, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 7.753331851741462e-05, 'reg_lambda': 2.022996202227256e-05, 'gamma': 9.656728991749e-05}. Best is trial 37 with value: -0.0934697926675258.
[I 2026-07-17 12:12:14,894] Trial 38 finished with value: -0.07192403472840983 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1050, 'learning_rate': 0.006837406637060776, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0028032420279646606, 'reg_lambda': 1.1041043899048706e-05, 'gamma': 0.00014461724543301122}. Best is trial 37 with value: -0.0934697926675258.
[I 2026-07-17 12:12:27,289] Trial 39 finished with value: -0.07568556685798424 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1100, 'learning_rate': 0.008584467065364657, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0026850991396281804, 'reg_lambda': 0.00021603719202137277, 'gamma': 0.00014470919354916424}. Best is trial 37 with value: -0.0934697926675258.
[I 2026-07-17 12:12:41,104] Trial 40 finished with value: -0.07340490337567551 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.006707143056733871, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0018987723404975101, 'reg_lambda': 2.311013623065885e-05, 'gamma': 0.00018081323950779233}. Best is trial 37 with value: -0.0934697926675258.
[I 2026-07-17 12:12:44,633] Trial 41 finished with value: -0.06325730555548979 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 400, 'learning_rate': 0.007320739303340191, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0019617373422107574, 'reg_lambda': 2.2678751675630426e-05, 'gamma': 0.00011514182152264052}. Best is trial 37 with value: -0.0934697926675258.
