[I 2026-07-17 13:58:41,678] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 14:05:05,711] Trial 39 finished with value: -0.06267334934020488 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.1900441434451827, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0001345162097653776, 'reg_lambda': 9.34329656233649, 'gamma': 7.618420755191332e-05}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:05:21,559] Trial 40 finished with value: -0.042681774104394755 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.06124392894771621, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.004961259790916288, 'reg_lambda': 11.13125884530871, 'gamma': 7.851761248678317e-05}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:05:34,975] Trial 41 finished with value: -0.04359483036181919 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.063136716880648, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00013768178141041235, 'reg_lambda': 13.04889639616518, 'gamma': 8.810940534358986e-05}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:05:47,831] Trial 42 finished with value: -0.03794904350035338 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.035396850273975766, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 7.226607191101554e-05, 'reg_lambda': 13.65129268342805, 'gamma': 9.577552603316672e-05}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:06:01,437] Trial 43 finished with value: -0.03834839796937652 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.048577048921416684, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00012621578926240413, 'reg_lambda': 0.0031773693894183485, 'gamma': 0.0046466855764501725}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:06:16,293] Trial 44 finished with value: -0.045515181955139226 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.0615325278677848, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00012469881159263171, 'reg_lambda': 16.22592793020359, 'gamma': 0.0018886624584317766}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:06:26,110] Trial 45 finished with value: -0.03812069466970698 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1500, 'learning_rate': 0.05184606401031685, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 9.419881685453229e-05, 'reg_lambda': 0.01843287782204501, 'gamma': 0.0035695729895695535}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:06:41,733] Trial 46 finished with value: -0.04089062602751555 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2500, 'learning_rate': 0.04735305546729701, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0001229114989955338, 'reg_lambda': 0.0031626325482687024, 'gamma': 0.005173893529021876}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:07:00,503] Trial 47 finished with value: -0.05106071382646058 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.05432836896070727, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0001616911216323493, 'reg_lambda': 0.003892703445946559, 'gamma': 4.970640124088707e-06}. Best is trial 21 with value: -0.09279946077589037.
[I 2026-07-17 14:07:16,329] Trial 48 finished with value: -0.05677441615683771 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2600, 'learning_rate': 0.048879512927942174, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.07148652456305346, 'reg_lambda': 31.95843886054824, 'gamma': 0.005451131606373499}. Best is trial 21 with value: -0.09279946077589037.
