[I 2026-07-17 11:44:07,700] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:48:15,111] Trial 38 finished with value: -0.20851517784639806 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.0005844423789790475, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.001058580544523069, 'reg_lambda': 1.867749563711761e-05, 'gamma': 5.208828092962817}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:15,693] Trial 39 finished with value: -0.2102172839528158 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 350, 'learning_rate': 0.0006122015090288262, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.04607820437558322, 'reg_lambda': 1.092770986260865e-05, 'gamma': 6.880751559761641}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:16,917] Trial 40 finished with value: -0.2033869979691022 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.0005807469650531116, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.05535556561761952, 'reg_lambda': 8.628876470707351e-06, 'gamma': 7.65439033413823}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:18,196] Trial 41 finished with value: -0.20406272524689772 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.0006325875129834005, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0009680925460190281, 'reg_lambda': 8.62195812196026e-06, 'gamma': 13.859644199189132}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:18,850] Trial 42 finished with value: -0.21126500915989627 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 350, 'learning_rate': 0.0006914781793036409, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0006469225251258053, 'reg_lambda': 7.800259913509635e-06, 'gamma': 18.67330759836427}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:20,860] Trial 43 finished with value: -0.19473902408052965 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.0007883121923547801, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0007946994058700681, 'reg_lambda': 8.180770780932386e-06, 'gamma': 16.72647116877315}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:21,237] Trial 44 finished with value: -0.21235986969729936 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.000845551267978347, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0009071980110289124, 'reg_lambda': 1.3287316848911102e-05, 'gamma': 18.5682224249349}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:23,249] Trial 45 finished with value: -0.21063664692795978 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.0002210885095919975, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.002371323540022489, 'reg_lambda': 7.971452088929845e-06, 'gamma': 22.485791427327104}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:24,506] Trial 46 finished with value: -0.21496286515917096 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 750, 'learning_rate': 0.00019743818879862187, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.4131499999460805, 'reg_lambda': 7.422658359950851e-06, 'gamma': 25.73666025401197}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:26,924] Trial 47 finished with value: -0.21058338070541927 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.00020556058418162997, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0018157181075409133, 'reg_lambda': 4.2196646011087915e-06, 'gamma': 26.207568671593798}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:27,339] Trial 48 finished with value: -0.21865936244942427 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.00019726190679587608, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0015217807293626227, 'reg_lambda': 3.583908069605066e-06, 'gamma': 29.979348225427795}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:27,798] Trial 49 finished with value: -0.21872543527622518 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.00019103821972505164, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00026558935881113157, 'reg_lambda': 5.404730319497025e-06, 'gamma': 30.362909581557048}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:28,302] Trial 50 finished with value: -0.21871359014904845 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.00019238224027877144, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.5395602168093866, 'reg_lambda': 0.22537450011896004, 'gamma': 40.22980367157426}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:28,791] Trial 51 finished with value: -0.21884014262711463 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.0001942999605699161, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0024375426445494746, 'reg_lambda': 0.24535208656136315, 'gamma': 36.124072148565595}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:30,290] Trial 52 finished with value: -0.2144514726121485 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 850, 'learning_rate': 0.0002043844413595391, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.4965374423872032, 'reg_lambda': 0.00022883377304137414, 'gamma': 40.342324632636284}. Best is trial 18 with value: -0.22079791924904862.
[I 2026-07-17 11:48:30,816] Trial 53 finished with value: -0.21888924526961187 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 250, 'learning_rate': 0.00019379317828102557, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.10761380391854568, 'reg_lambda': 0.00023552605112921808, 'gamma': 47.47407958250334}. Best is trial 18 with value: -0.22079791924904862.
