[I 2026-07-17 11:47:39,713] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:52:45,054] Trial 33 finished with value: -1.6213468709333292 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.00010294861764409745, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.002947386760230954, 'reg_lambda': 3.988248244823403e-05, 'gamma': 1.665703249640731e-05}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:52:59,141] Trial 34 finished with value: -1.6176750173526826 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.00010561409601706226, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 2.028125575166979e-05, 'reg_lambda': 5.423319287581092e-05, 'gamma': 1.0031135997480648e-06}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:53:23,606] Trial 35 finished with value: -1.5256123138191315 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.00011963341491789423, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.9816175759075704e-05, 'reg_lambda': 0.000252455593424485, 'gamma': 0.007431183780127225}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:53:37,598] Trial 36 finished with value: -1.509837999803318 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2300, 'learning_rate': 0.00013418646977195382, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0041588000095700624, 'reg_lambda': 0.0006044298545650848, 'gamma': 6.685905808884862e-06}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:53:48,732] Trial 37 finished with value: -2.155031694906849 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.4810090816372784, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0018584106018642696, 'reg_lambda': 0.0002537457044733532, 'gamma': 7.812773161630304e-06}. Best is trial 37 with value: -2.155031694906849.
[I 2026-07-17 11:54:00,300] Trial 38 finished with value: -1.8152622821086726 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.2871842608298327, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 9.643095589956409e-06, 'reg_lambda': 0.0005944288009503267, 'gamma': 8.946364438807957e-06}. Best is trial 37 with value: -2.155031694906849.
[I 2026-07-17 11:54:10,983] Trial 39 finished with value: -2.1600724702341423 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1000, 'learning_rate': 0.484569259453805, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00162244786195104, 'reg_lambda': 0.00034463521733994854, 'gamma': 6.18520420075218e-06}. Best is trial 39 with value: -2.1600724702341423.
[I 2026-07-17 11:54:17,891] Trial 40 finished with value: -1.7508093525214041 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1000, 'learning_rate': 0.3336739532114713, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0016850656332022497, 'reg_lambda': 0.000468735433765256, 'gamma': 5.106049502978648e-06}. Best is trial 39 with value: -2.1600724702341423.
[I 2026-07-17 11:54:27,385] Trial 41 finished with value: -1.938020560059177 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.4440927821755143, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.003403522655252323, 'reg_lambda': 0.001155736958000925, 'gamma': 0.005747295818035644}. Best is trial 39 with value: -2.1600724702341423.
[I 2026-07-17 11:54:30,562] Trial 42 finished with value: -1.8065133522054582 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.44324486715842415, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0017170022125554522, 'reg_lambda': 0.0007448354998539238, 'gamma': 0.004545451594462795}. Best is trial 39 with value: -2.1600724702341423.
