[I 2026-07-17 16:08:51,444] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 16:12:32,898] Trial 32 finished with value: -0.6974755817821268 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.2158206981455409, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 1.1537288865639723, 'reg_lambda': 0.0009899532299752242, 'gamma': 4.6234255515702866e-05}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:12:35,148] Trial 33 finished with value: -0.6607276783336011 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 500, 'learning_rate': 0.2054006560554636, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.13526062554813223, 'reg_lambda': 0.0011987004993141506, 'gamma': 4.2548476256723586e-05}. Best is trial 11 with value: -1.2716253959070092.
[I 2026-07-17 16:12:51,460] Trial 34 finished with value: -1.6057195737937051 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2050, 'learning_rate': 0.15379597919040303, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.41654135030913336, 'reg_lambda': 0.21920528776766662, 'gamma': 0.03265992369960831}. Best is trial 34 with value: -1.6057195737937051.
[I 2026-07-17 16:13:09,406] Trial 35 finished with value: -1.4537378663242384 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2100, 'learning_rate': 0.15501257031693125, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.2356606097300315, 'reg_lambda': 0.17328528377464478, 'gamma': 0.02609331477045824}. Best is trial 34 with value: -1.6057195737937051.
[I 2026-07-17 16:13:27,934] Trial 36 finished with value: -1.6171808901494555 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2100, 'learning_rate': 0.15869434973900412, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.3236562260730303, 'reg_lambda': 0.4188927944036111, 'gamma': 0.02092231909759139}. Best is trial 36 with value: -1.6171808901494555.
[I 2026-07-17 16:13:42,194] Trial 37 finished with value: -0.9139644851757649 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2050, 'learning_rate': 0.03208892202716365, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.12667353249752952, 'reg_lambda': 0.4895270831699276, 'gamma': 0.02716628320269419}. Best is trial 36 with value: -1.6171808901494555.
[I 2026-07-17 16:13:57,780] Trial 38 finished with value: -0.8894694435608028 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2050, 'learning_rate': 0.02172684817256536, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.1907284301343189, 'reg_lambda': 0.0009733059841863589, 'gamma': 0.013256013679572564}. Best is trial 36 with value: -1.6171808901494555.
[I 2026-07-17 16:14:12,370] Trial 39 finished with value: -0.9283631117251364 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.0309133342136756, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.1852511618489978, 'reg_lambda': 0.0010586495020160648, 'gamma': 0.018800611091758037}. Best is trial 36 with value: -1.6171808901494555.
[I 2026-07-17 16:14:26,651] Trial 40 finished with value: -0.8669975694196319 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2050, 'learning_rate': 0.026255252219331664, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.1013583260866974, 'reg_lambda': 0.0011943713956497949, 'gamma': 0.010924328316925792}. Best is trial 36 with value: -1.6171808901494555.
[I 2026-07-17 16:14:42,637] Trial 41 finished with value: -0.9214777124596355 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2000, 'learning_rate': 0.020117382231449397, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.1892423458370765, 'reg_lambda': 0.5641910103236569, 'gamma': 0.011928209393003243}. Best is trial 36 with value: -1.6171808901494555.
