[I 2026-07-17 11:46:45,729] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 12:00:42,909] Trial 34 finished with value: -0.8454392015672793 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.12051458829750067, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 3.6332610628059066e-05, 'reg_lambda': 0.00437112187407854, 'gamma': 1.427092353860537e-05}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:01:10,431] Trial 35 finished with value: -0.8149527005989943 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.0961742594225256, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00012879444108096922, 'reg_lambda': 0.002696978006265858, 'gamma': 1.4825667966230502e-05}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:01:36,679] Trial 36 finished with value: -0.8464324924462957 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2300, 'learning_rate': 0.11905237859466926, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00010500771005099984, 'reg_lambda': 0.001099595802566931, 'gamma': 1.4251204694368741e-05}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:02:02,247] Trial 37 finished with value: -0.8082196042682216 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2300, 'learning_rate': 0.09439596912408388, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00012842431235303133, 'reg_lambda': 0.00836151945163516, 'gamma': 1.533652743011467e-05}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:02:26,880] Trial 38 finished with value: -0.8132778519216094 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.1040581491909261, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 1.2382238455850965e-06, 'reg_lambda': 0.0005162343162717327, 'gamma': 2.892615788965899e-05}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:02:52,419] Trial 39 finished with value: -0.7899485905982786 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.08595601587315818, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 1.0819044447443291e-06, 'reg_lambda': 0.002202126977868451, 'gamma': 3.831150371396042e-06}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:03:34,635] Trial 40 finished with value: -0.867309614755053 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.07404696381914863, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 3.1446458432048485e-06, 'reg_lambda': 0.004885333906747022, 'gamma': 3.2947069658162e-06}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:04:21,796] Trial 41 finished with value: -0.8319617979063971 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.05316958838581883, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 2.6116906273710694e-06, 'reg_lambda': 19.61850163410354, 'gamma': 3.2710763823690184e-06}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:05:00,152] Trial 42 finished with value: -0.8507871844763533 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.0680380415630747, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 2.679586312846104e-06, 'reg_lambda': 0.000369745472257283, 'gamma': 3.926531854901553e-06}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:05:40,114] Trial 43 finished with value: -1.0916968044570907 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.2352393835819476, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 3.5927944535304898e-06, 'reg_lambda': 0.00043100478182165995, 'gamma': 3.5019948659854356e-06}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:06:29,377] Trial 44 finished with value: -1.1893655156845586 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2900, 'learning_rate': 0.25449125512090576, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 2.8614937472977858e-06, 'reg_lambda': 28.94144313502476, 'gamma': 2.211086493753874e-06}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:07:32,148] Trial 45 finished with value: -1.639306213668986 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2850, 'learning_rate': 0.21381834923713636, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 2.7242825609085387e-06, 'reg_lambda': 19.54014031125598, 'gamma': 3.0888546403730227e-06}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:08:28,493] Trial 46 finished with value: -1.727476009964727 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2800, 'learning_rate': 0.24571928107066843, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 4.003766090425759e-06, 'reg_lambda': 25.182756380470337, 'gamma': 3.3425918124730767e-06}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:09:30,936] Trial 47 finished with value: -1.7320502279707681 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.24296624026535993, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 4.216789231498703e-06, 'reg_lambda': 26.269735056973445, 'gamma': 2.996192416069119e-06}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:10:31,607] Trial 48 finished with value: -1.6622947445957323 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.23972399694640778, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 4.609587890503774e-06, 'reg_lambda': 26.72782058668423, 'gamma': 4.038925568970912e-06}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:11:43,746] Trial 49 finished with value: -1.6235787498007637 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.24267412972421243, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 8.674860372283243e-06, 'reg_lambda': 32.226007622308586, 'gamma': 6.689118679537246e-05}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:12:43,539] Trial 50 finished with value: -1.456793452565407 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.24516548812917796, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 8.19385982818861e-06, 'reg_lambda': 4.00694231496179, 'gamma': 5.752867955438316e-05}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:13:33,512] Trial 51 finished with value: -1.5125103506105686 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.2681929819309066, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.0551747435301625e-05, 'reg_lambda': 3.9862974983953436, 'gamma': 3.564461559919519e-05}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:14:30,226] Trial 52 finished with value: -1.0907141571693042 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.2560993092882201, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 1.588869725471161e-05, 'reg_lambda': 36.27740440572723, 'gamma': 5.092643933226631e-05}. Best is trial 22 with value: -1.8887426569419334.
[I 2026-07-17 12:15:20,239] Trial 53 finished with value: -1.6218166744111877 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.27950733890919954, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 9.914021461132584e-06, 'reg_lambda': 4.244538540439937, 'gamma': 4.866483333374275e-05}. Best is trial 22 with value: -1.8887426569419334.
