YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS,F8,F12,F24,F70,F160,F250,F350,F500,F870,F1100
869.0,0.203846154,161.0419461,1031.813478,6.407110092,18.3,55.8,46.11,1.05,0.5218,0.1204,0.5181,19.9537,48.97,68.129,19.977,6.947,0.85,
871.0,0.624521739,975.4886654,136562.4109,139.9938469,27.9,536.6,94.37,0.67,39.1322,,,1759.3835,1099.351,702.559,109.21,,8.99,12.659
873.0,0.44212204,1105.926936,5904.399253,5.338869196,16.5,59.1,48.17,1.52,1.2642,0.566,4.217,83.1906,98.596,92.759,52.734,22.778,3.16,
874.0,0.357491103,637.039037,5798.698245,9.102579132,19.3,71.2,47.01,1.34,0.6005,0.1298,0.9296,45.1598,97.819,87.881,35.498,13.228,2.03,6.014
875.0,0.794978261,1712.600715,9148.983441,5.342157901,14.2,84.4,49.34,0.73,1.7184,0.4724,1.5078,56.9511,32.409,47.078,28.313,9.319,1.515,3.933
877.0,0.60806142,1006.10006,3385.984767,3.365455288,13.1,65.4,64.8,0.71,1.8952,0.9519,4.1977,47.0588,20.811,32.906,28.659,11.126,1.54,1.862
879.0,0.426298701,316.6246182,1113.204365,3.515849057,15.8,42.0,40.87,0.46,0.2711,0.0937,0.4169,13.9819,26.263,33.195,12.659,5.481,,0.684
880.0,0.07375969,21.07909578,585.8223838,27.79162778,24.1,140.3,46.45,1.04,,0.3657,,,91.561,68.142,17.009,5.403,1.0,1.192
881.0,0.403979058,318.213019,10850.22025,34.09734863,22.8,188.9,51.02,0.53,2.4922,0.8696,6.1543,88.8058,93.537,56.729,19.117,7.22,0.875,1.315
882.0,0.220344828,55.42102973,606.670264,10.94657149,18.9,87.5,44.85,0.3,0.3174,0.099,0.4995,15.4033,23.426,21.122,7.359,2.879,0.43,
883.0,0.495315948,164.154279,4658.101049,28.37636081,20.3,194.7,52.66,0.18,2.4611,0.7521,3.4025,59.8384,46.376,32.294,12.609,,0.51,
884.0,0.491052114,532.6430473,14176.97785,26.61628255,23.9,134.6,51.08,0.58,1.2033,0.4967,3.7126,53.1115,93.823,57.794,18.321,6.217,1.0,
885.0,0.516025641,1979.863363,16624.12063,8.396599957,20.2,60.9,41.64,2.0,0.2587,0.0267,0.8073,23.8473,80.684,92.711,27.556,11.266,2.35,1.219
886.0,0.767951542,653.3967819,1567.263568,2.398639864,14.3,36.5,41.97,0.29,0.2682,0.0528,0.214,7.3955,15.739,21.345,9.441,4.4,,
887.0,0.528888889,449.045679,5327.388889,11.8638017,18.0,106.3,48.66,0.43,0.8372,0.2285,0.9284,31.1691,37.226,34.467,11.268,,,0.762
890.0,0.58537859,4506.656546,24367.22333,5.406940396,15.1,77.6,70.09,3.51,13.5167,3.105,,357.6453,24.526,67.358,33.37,13.473,2.24,1.538
892.0,0.32195122,1528.899465,6769.399167,4.427628712,18.0,42.8,43.44,3.88,3.6564,0.7993,6.0019,118.6644,225.238,402.788,156.423,68.635,9.95,8.526
893.0,1.071620227,2658.223973,272943.7093,102.6789737,23.9,521.1,146.07,0.62,,,,,513.772,406.034,102.907,,2.609,
894.0,0.754990991,4124.747508,14764.88893,3.579586121,18.3,32.1,31.67,1.93,,,,,406.332,423.451,181.985,,12.26,18.251
896.0,0.249199319,2225.632504,31764.9493,14.27232449,27.3,69.8,42.63,9.35,,0.4423,,,628.729,515.612,141.337,43.082,12.4,12.731
898.0,0.441038961,765.7112787,34767.85721,45.40596198,22.9,251.9,71.54,1.07,7.2685,,,327.0308,275.027,207.206,64.827,20.057,4.09,4.975
900.0,0.860921305,1255.407732,6101.883431,4.86047941,15.2,64.3,47.17,0.45,0.6351,0.1216,0.5989,26.0518,49.499,151.476,28.742,,1.695,
901.0,0.387881041,1771.681436,6246.657951,3.525835866,17.1,37.8,40.53,3.17,0.4445,0.0437,1.6856,30.1842,113.854,183.094,68.944,27.056,5.26,2.79
902.0,0.729884393,2288.696602,3694.319302,1.6141586,13.3,30.2,44.09,1.15,0.6834,0.0982,0.6221,28.6689,52.425,172.598,31.254,20.68,1.01,4.328
907.0,0.62163606,5490.335417,11981.55571,2.182299404,18.8,19.2,25.31,3.79,2.98,,,195.497,261.917,676.819,262.207,91.829,11.74,15.285
910.0,0.26979346,615.7325707,9923.461488,16.1165122,23.9,85.0,44.19,2.24,1.6097,0.5074,3.9426,87.0148,164.132,145.462,41.907,15.811,2.32,1.161
912.0,0.410786948,55.93912084,821.0678405,14.67788246,18.7,118.5,48.7,0.09,0.5529,0.1467,0.239,10.0434,11.518,8.287,3.536,1.515,,
913.0,0.521329046,2095.550432,12305.51821,5.872212866,18.4,52.1,41.83,2.02,0.7722,0.1512,2.0232,58.3415,171.116,266.479,101.349,39.843,3.84,3.607
917.0,1.078864353,686.6423191,5249.410383,7.645043478,16.9,77.5,45.81,0.16,0.682,0.133,0.5143,19.8742,55.865,89.78,22.105,9.134,0.732,0.636
919.0,0.310511316,184.1003782,689.779081,3.746755371,15.8,44.9,42.82,0.51,0.1669,0.0619,0.3745,10.8266,26.498,41.708,13.011,5.509,0.556,0.252
920.0,0.570122449,495.9712653,2515.507392,5.071881312,16.9,52.1,43.86,0.4,0.7533,0.219,0.7544,17.3208,43.713,47.082,18.817,8.615,,0.501
921.0,1.070425532,2127.7311,50063.28628,23.52895358,19.6,175.0,52.03,0.49,2.1371,0.8604,5.1428,179.6605,104.994,103.154,63.636,,1.66,
922.0,0.422258065,164.7991675,685.480333,4.159489051,16.8,42.6,37.39,0.25,0.1394,0.0498,0.093,4.9911,17.016,19.854,7.324,2.75,,
923.0,0.460863039,139.1707507,1159.212555,8.329426614,17.1,82.8,45.54,0.18,0.7255,0.2235,0.4227,13.5581,16.979,16.6,6.083,2.575,,
925.0,0.786325486,1168.553425,512.5240545,0.438597024,11.5,12.3,32.64,0.5,0.1219,0.0142,0.0363,2.0039,8.827,32.413,15.795,6.014,,0.368
927.0,0.856397362,1288.418246,19539.70984,15.1656575,18.3,130.2,48.28,0.47,,0.3804,2.7361,,43.069,44.017,15.43,7.294,0.67,
928.0,0.40972028,153.7213556,605.2778375,3.9375,14.7,56.1,47.9,0.25,1.0899,0.4673,1.072,12.3334,16.764,20.166,8.792,6.27,,
929.0,1.263570248,5155.529427,8183.635241,1.587351087,13.5,28.8,55.79,0.86,0.9858,0.1631,1.6935,33.2552,25.035,125.675,30.995,15.402,1.76,1.771
930.0,0.679168421,901.5891637,5265.622367,5.840378944,17.0,59.6,43.44,0.52,1.3542,0.4207,1.1119,36.1233,75.715,80.013,35.323,14.042,1.44,0.713
931.0,0.232719298,72.10787042,767.3232367,10.64132434,18.1,93.8,55.68,0.36,1.138,0.1198,1.3157,19.6557,21.885,18.758,6.986,2.65,,
932.0,0.976140351,4555.270422,36350.36553,7.979847992,14.2,127.8,55.97,1.27,3.7818,1.1916,5.6257,65.0107,40.248,70.199,34.332,12.677,3.988,
933.0,0.269594595,83.39390066,3732.78351,44.76086957,24.4,214.8,51.91,0.29,2.4504,1.115,8.6809,99.3787,97.977,61.678,17.417,6.133,1.201,
