YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS,F8,e_F8,F12,e_F12,F24,e_F24,F70,e_F70,F160,e_F160,F250,e_F250,F350,e_F350,F500,e_F500,F870,e_F870,F1100,e_F1100,DIST,N8,N12,N24,N70,f_MULTI,f_CEXT
3249,0.0972,0.26244,65.15073,248.25,23.4,1306.1,99.58,0.01,0.5562,0.1292,2.8348,0.1334,26.3145,0.0578,20.0433,0.1454,5.61,0.050623888,2.972,0.035666218,1.009,0.03567889,0.507,0.06114398,,,,,0.81,6,6,6,4,1,0
3261,0.188447653,19.07153749,783.4675286,41.08045977,21.9,107.3,52.56,0.14,4.9049,0.028,0.7504,0.1948,1.8898,0.0933,28.1955,0.058,25.97,0.016596072,18.855,0.037974013,4.966,0.039065648,2.138,0.043966323,,,0.56,0.31964287,2.9,6,6,6,4,0,0
3262,0.493414634,51.30768372,148.8531219,2.901185771,15,17.6,42.09,0.06,0.4581,0.7952,0.1932,0.8741,0.264,0.8357,6.0353,0.5906,10.945,0.1576975743593065,9.374,0.2537870651271161,6.196,0.16978696,2.523,0.3234245,,,,,2.89,6,6,6,4,1,0
3263,0.33,384.1,43369.8,112.9127831,22.8,632.2,66.18,0.96,,,,,,,,,307.392,0.064110324,58.071,0.2206436900577189,43.919,0.04134885,22.328,0.031977788,,,7.101,0.07674976,4.4,6,0,0,4,0,0
3264,0.509318996,8.859341478,93.99545227,10.6097561,19.3,36.5,45.48,0.01,0.4308,0.3039,0.1596,0.2661,0.1734,0.3402,2.8325,0.0436,5.846,0.067396509,7.446,0.077894169,4.264,0.041041277,0.247,,,,,,2.9,6,6,6,4,0,0
3266,0.102631579,2.57097066,3.301848606,1.284280936,14.4,8.4,30.48,0.07,,,0.0258,0.3267,0.056,0.2389,0.4624,0.2737,5.414,0.039342445,7.429,0.042939831,3.559,0.05619556,1.451,0.046864234,,,,,0.78,6,6,6,4,1,0
3271,0.328058824,9.340027682,10.68442561,1.143939394,15.1,7.6,23.41,0.02,,,,,0.0145,0.8786,,,3.321,0.078590788,1.931,0.089590882,0.896,0.13058035,0.461,0.1670282,,,,,2.86,6,6,6,4,0,0
3273,0.2,234.2,2940.3,12.55465414,19.4,97.5,56.53,1.54,5.4521,0.2363,2.7976,0.1069,20.3343,0.0269,200.1462,0.0571,192.045,0.019037204,181.514,0.028499178,56.574,0.036465514,26.314,0.025841758,,,3.263,0.09898867,2.5,6,6,6,4,1,0
3275,0.272468354,18.80721439,21.94175012,1.166666667,13.9,9.2,32.7,0.07,0.0437,0.4649,0.0194,0.6423,0.0343,0.5332,0.5785,0.7931,2.363,0.0647482,3.664,0.076146292,1.73,0.06705202,0.73,0.07534246,,,,,2.87,6,6,6,4,1,0
3277,0.437222899,56.81272979,603.7266908,10.62660944,18.4,89,46.27,0.08,0.241,0.293,0.1167,0.3216,0.2043,0.1703,4.8542,0.0506,6.842,0.022215726,5.883,0.021417644,2.076,0.029865125,0.835,0.037125748,,,,,6.41,6,6,6,4,0,0
3279,0.426867089,9.403607194,47.3479871,5.035087719,18.3,20.2,34.8,0.01,,,0.0437,0.3981,0.0556,0.3501,,,5.706,0.1128636512094491,3.927,0.1459129141401267,1.898,0.15384614,,,,,,,2.87,6,6,6,4,0,0
3281,0.22421875,84.54083887,538.937793,6.374881066,16.3,34.2,45.86,0.44,3.3564,0.1538,1.6565,0.2252,8.3467,0.1087,54.6765,0.0606,26.092,0.055151005,29.811,0.087752841,12.555,0.07064915,4.801,0.053322226,,,1.227,0.17440914,2.87,6,6,6,4,1,0
3285,0.083111111,0.543753086,0.639358025,1.175824176,15.2,7.5,23.51,0.02,,,0.0317,0.8213,0.0581,0.7011,,,1.448,0.1533149191029164,1.943,0.044261453,0.801,0.15730338,0.176,0.22727272,,,,,0.77,6,6,6,4,0,0
3288,0.2529,2.36883,16.58181,7,17.6,66.8,42.66,0.01,0.0263,0.0834,0.0107,0.2542,0.0149,0.1319,0.5181,0.1329,1.192,0.025167785,0.93,0.02795699,0.37,0.067567565,,,,,,,2.81,6,6,6,4,0,0
3290,0.091485149,0.988069797,0.348730517,0.352941176,12.5,8.1,19.36,0.03,,,0.0221,1.0151,0.0293,0.8026,,,0.93,0.1118279592965238,1.244,0.1495176884330737,0.809,0.08899876,0.475,0.088421054,,,,,0.77,6,6,6,4,0,0
3296,0.61,429.1,628.7,1.465159636,13.2,27.6,41.4,0.31,2.2115,0.3709,0.7176,0.4712,0.8046,0.4152,27.5376,0.4232,18.901,0.055605523,23.878,0.1276907624087248,14.808,0.054024853,8.186,0.2758368,,,1.624,0.0997537,4.2,6,6,6,4,1,0
3297,0.5810181,351.4627229,1125.696816,3.202891069,14.5,46.7,49.81,0.27,0.1892,0.2498,0.0991,0.2677,0.233,0.1785,4.235,0.0582,7.026,0.022772559,9.086,0.039841513,4.575,0.06601093,1.568,0.06377551,,,,,8.42,5,5,5,5,1,0
3298,0.15,30.8,411.4,13.35714286,18,46.8,54.45,0.36,0.6162,0.4837,0.3218,0.346,1.8594,0.3808,33.0417,0.294,25.435,0.045213288,20.573,0.016672337,8.739,0.05721478,3.574,0.048964746,,,,,2.2,5,5,5,5,1,0
3299,0.185,98.568,1757.796,17.83333333,19.6,10.6,57.3,0.68,0.4157,0.1793,0.2142,0.0979,3.8476,0.0529,29.1922,0.0704,44.796,0.022591302,39.799,0.044724741,12.94,0.035085008,,,1.35,,,,3.7,5,5,5,5,0,0
3300,0.296,158.804,2573.72,16.20689655,18.6,10.8,54.69,0.54,0.9083,0.2767,0.4921,0.2585,3.9041,0.094,56.3377,0.1408,52.827,0.075946014,46.375,0.043191375,18.176,0.05122139,7.42,0.05175202,,,,,3.7,5,5,5,5,1,0
3301,0.562738095,513.1364052,2995.978579,5.838561732,17.1,58.1,44.46,0.43,0.319,0.0553,0.1055,0.1782,0.6178,0.0545,14.9466,0.142,22.837,0.031002321,26.098,0.018200628,9.297,0.025492094,3.626,0.06370657,,,,,8.15,5,5,5,5,0,0
3302,0.056341463,5.643307555,137.9083284,24.4375,20.5,161.1,60.65,0.41,0.8702,0.346,0.4696,0.3273,5.7672,0.1697,61.6649,0.1291,76.757,0.048620974,53.93,0.05740775,19.021,0.06997529,,,,,,,0.77,5,5,5,5,0,0
3303,0.056341463,4.937894111,323.0793575,65.42857143,24.8,300.4,62.09,0.37,3.3807,0.1831,1.4623,0.1398,13.3465,0.1322,168.1916,0.098,143.629,0.055135106,86.275,0.055276732,26.793,0.039114695,8.91,0.10931537,1.34,,,,0.77,5,5,5,5,1,0
3304,0.180954654,43.76331019,62.00510421,1.416828479,14.6,20.4,31.83,0.35,0.5371,0.2666,0.2046,0.3516,0.2248,0.4047,5.1349,0.065,10.989,0.070525068,16.98,0.041578326,7.463,0.030148733,3.432,0.048076928,,,,,2.23,5,5,5,5,0,0
3305,0.538867925,305.4716625,10744.10228,35.17217339,22.3,200.4,54.18,0.28,1.4559,0.2222,0.9784,0.246,10.3359,0.0711,75.2597,0.0679,56.425,0.024705362,37.647,0.071559487,10.773,0.044184536,4.222,0.022027476,,,,,8.16,5,5,5,5,1,0
3306,1.240166205,1491.160672,5012.694961,3.361606199,13.6,58.1,47.25,0.26,1.6771,0.2636,0.4019,0.5905,0.8029,0.3965,46.1919,0.3602,26.124,0.062700965,38.208,0.088594011,13.71,0.17031364,9.101,0.050104383,,,,,7.4,5,5,5,5,0,0
3307,0.666845992,128.5524793,652.0625761,5.072345391,16.7,53.5,42.55,0.08,0.1132,0.1777,0.0547,0.2308,0.0965,0.2563,1.3728,0.2402,5.723,0.044207582,5.664,0.041490113,2.322,0.042204995,0.958,0.10020877,,,,,8.21,5,5,5,5,1,0
3309,0.6035,69.31375,30.246,0.436363636,12.9,8.8,19.92,0.05,0.0862,0.1375,0.0344,0.3864,0.0379,0.1602,0.8132,0.241,3.309,0.098519192,5.796,0.079710147,3.811,0.09105221,1.306,0.10183767,,,,,3.55,5,5,5,5,1,0
3312,1.7168,1001.65623,2820.75605,2.816091954,13.4,50.4,46.37,0.09,0.6762,0.3102,0.257,0.1784,0.2595,0.2495,6.8045,0.118,7.363,0.051609398,16.396,0.087216391,5.988,0.05444222,2.531,0.08060055,,,,,10.73,5,5,5,5,0,0
3313,0.244173913,7.408514178,38.45371645,5.19047619,17.2,51.6,43.06,0.03,0.1404,0.4493,0.0431,0.4129,0.0533,0.4958,2.3499,0.0783,5.382,0.06224452,4.89,0.048466258,2.214,0.04065041,0.817,0.05140759,,,,,2.16,5,5,5,5,1,0
3314,0.933049645,359.279498,13579.90103,37.79759519,21.6,228.5,60.68,0.11,4.5556,0.2126,2.197,0.2385,9.6149,0.1318,121.8529,0.2209,46.401,0.054395378,37.246,0.038903506,11.856,0.025809716,4.048,0.024950594,,,,,8.58,5,5,5,5,1,0
3315,0.521978022,183.4003479,334.4459455,1.82358403,13.7,30.9,40.21,0.18,0.1275,0.2338,0.0413,0.2846,0.0728,0.1899,3.6452,0.177,8.209,0.035083443,10.058,0.062636707,5.536,0.044617053,3.287,0.06814725,,,,,4.75,5,5,5,5,0,0
