[I 2026-07-17 11:47:12,344] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:51:18,100] Trial 35 finished with value: -1.6315072487684972 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 750, 'learning_rate': 0.00010736002479357434, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.004232018497391364, 'reg_lambda': 5.152527501930914, 'gamma': 9.68553284239678}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:51:26,314] Trial 36 finished with value: -1.630813657938268 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 500, 'learning_rate': 0.00010972850863408996, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.009696443005760527, 'reg_lambda': 3.3637654272804305, 'gamma': 0.2097768260038276}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:51:33,001] Trial 37 finished with value: -1.5536763289376845 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.000508891983372359, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.005450332364071128, 'reg_lambda': 3.834296862530549, 'gamma': 0.26763545991168675}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:51:38,532] Trial 38 finished with value: -1.5873407968625577 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.0003298469432814068, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.28980564530954717, 'reg_lambda': 3.809911506590935, 'gamma': 0.2762044001857651}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:51:44,232] Trial 39 finished with value: -1.6104379105767541 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.00021747820057055719, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.005062521818144312, 'reg_lambda': 4.239763306022329, 'gamma': 0.30295267096413475}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:51:48,055] Trial 40 finished with value: -1.6114613996329488 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.00021197767827747056, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.007296665901188038, 'reg_lambda': 4.320473733609665, 'gamma': 0.4600684244385232}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:51:52,019] Trial 41 finished with value: -1.6068410025729345 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.00023544815205119536, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.3008540809519212, 'reg_lambda': 1.0506985572603569, 'gamma': 0.4631421290492627}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:51:52,986] Trial 42 finished with value: -1.6251578803695712 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.0002771116648021064, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0076317360821449905, 'reg_lambda': 7.979684509725098, 'gamma': 19.188262641166194}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:51:59,436] Trial 43 finished with value: -1.4468573976427486 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 500, 'learning_rate': 0.0011580121178426952, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.2828427993313218, 'reg_lambda': 0.7645514196320568, 'gamma': 0.30648850987740683}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:52:00,153] Trial 44 finished with value: -1.6334000797191002 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 400, 'learning_rate': 0.00023020520686978035, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.17460279901404477, 'reg_lambda': 0.5882337828329983, 'gamma': 19.75770447209485}. Best is trial 18 with value: -1.6547131891890032.
