[I 2026-07-17 12:55:37,955] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 12:59:40,462] Trial 37 finished with value: -0.1334460499975365 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.16772859908105628, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0004309399168867432, 'reg_lambda': 0.003837972845077902, 'gamma': 0.0020790550999049587}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 12:59:50,544] Trial 38 finished with value: -0.13683042995566283 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.19540772934250342, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0002643691381480566, 'reg_lambda': 0.001350908088294002, 'gamma': 0.0009593879147713105}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 13:00:04,622] Trial 39 finished with value: -0.132656575363948 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.12422555669065649, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00029255020702555125, 'reg_lambda': 0.002545346257072877, 'gamma': 0.000986308717545507}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 13:00:16,780] Trial 40 finished with value: -0.1307582275307209 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.11289513376684279, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0001820859203596772, 'reg_lambda': 0.001353177492029622, 'gamma': 0.0014559188525579737}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 13:00:28,550] Trial 41 finished with value: -0.10311231183561502 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.031198109574342416, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0006138959178701193, 'reg_lambda': 5.481825243366895e-06, 'gamma': 0.0018306489617391686}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 13:00:39,450] Trial 42 finished with value: -0.10136094585607722 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.033709828865139756, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0002821436269182523, 'reg_lambda': 5.690375412747008e-06, 'gamma': 0.0013994814478862107}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 13:00:48,052] Trial 43 finished with value: -0.09958811408986637 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.026651466740273324, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0003468294210385613, 'reg_lambda': 6.58551414894203e-06, 'gamma': 0.001995649963056099}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 13:00:56,315] Trial 44 finished with value: -0.09879830278112127 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.027842989763914906, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0006141838889783751, 'reg_lambda': 5.5225100884609175e-06, 'gamma': 0.0005131644947471269}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 13:01:04,120] Trial 45 finished with value: -0.09155501656886615 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.028040776318011253, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 9.853776725700914e-06, 'reg_lambda': 5.31338154319668e-06, 'gamma': 9.604363449809965e-06}. Best is trial 27 with value: -0.1744350182298891.
[I 2026-07-17 13:01:14,679] Trial 46 finished with value: -0.09648998531332749 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.030046216829772193, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 8.30294313131416e-06, 'reg_lambda': 0.0005311047038903489, 'gamma': 0.010341743424274795}. Best is trial 27 with value: -0.1744350182298891.
