[I 2026-07-17 15:49:23,814] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:51:14,532] Trial 33 finished with value: -0.2888371952794301 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1500, 'learning_rate': 0.11756670025327227, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 5.58259292546736, 'reg_lambda': 97.12715223163478, 'gamma': 7.313721741407092e-05}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:51:21,753] Trial 34 finished with value: -0.3309804437205125 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2850, 'learning_rate': 0.13444918613278417, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 3.6165323927884265, 'reg_lambda': 1.0058003691583894, 'gamma': 1.6231345533789889e-06}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:51:28,253] Trial 35 finished with value: -0.38196381803945206 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.11664544517178042, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.031086020306274706, 'reg_lambda': 1.0437775643545142, 'gamma': 8.149582755807714e-05}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:51:34,380] Trial 36 finished with value: -0.2956917715731993 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.1073309818398052, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 4.874366298249774, 'reg_lambda': 1.4829144727371257, 'gamma': 0.00013852706141137853}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:51:40,729] Trial 37 finished with value: -0.3120857241036579 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2450, 'learning_rate': 0.10469744281371939, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 3.4841374060358774, 'reg_lambda': 81.55171231523695, 'gamma': 0.00010362637130889007}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:51:49,171] Trial 38 finished with value: -0.32526618453235756 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.09155756200152461, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 3.229402685541602, 'reg_lambda': 28.220447506424406, 'gamma': 1.099196489588777e-06}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:51:56,952] Trial 39 finished with value: -0.2904383598748516 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.0832889352224424, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 5.833141992205386, 'reg_lambda': 59.34997990393306, 'gamma': 1.4891935280558535e-06}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:52:04,939] Trial 40 finished with value: -0.3124056238185955 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.09282091669319883, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 4.856139439369696, 'reg_lambda': 83.72438070563275, 'gamma': 1.030009362446815e-06}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:52:11,409] Trial 41 finished with value: -0.29957441812711577 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.0895334847222137, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 4.490993567859005, 'reg_lambda': 30.574698139782672, 'gamma': 0.014450240080822477}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:52:20,950] Trial 42 finished with value: -0.40046678098583194 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.08462312078624133, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.17812492020832946, 'reg_lambda': 87.25899051672035, 'gamma': 0.009109112288695237}. Best is trial 28 with value: -0.5266907191157403.
