[I 2026-07-17 11:41:05,626] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:44:21,990] Trial 32 finished with value: -0.13579014941296488 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.0005007275552955708, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 2.972031049607642, 'reg_lambda': 0.7429394686468022, 'gamma': 2.443603747258798}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:22,310] Trial 33 finished with value: -0.13624994779928737 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.00035431562823009356, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 2.6435008339592776, 'reg_lambda': 0.4071077173566571, 'gamma': 1.8519614155993092}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:22,698] Trial 34 finished with value: -0.1356511200874173 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.0003298973320662574, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 2.4368649835511462, 'reg_lambda': 0.47361611738987724, 'gamma': 2.1433937677921806}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:22,984] Trial 35 finished with value: -0.13633531613818953 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.0003490212772134001, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 2.6828423411098563, 'reg_lambda': 0.8881546826372716, 'gamma': 2.393339844896198}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:23,410] Trial 36 finished with value: -0.1344596851504223 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.0003377623637417638, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 3.003267431526505, 'reg_lambda': 0.35660504334543147, 'gamma': 1.5548962990698088}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:23,898] Trial 37 finished with value: -0.11920038446146765 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 300, 'learning_rate': 0.003304852614767593, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 5.489630251339909, 'reg_lambda': 0.006964586131776546, 'gamma': 73.25417066169454}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:24,492] Trial 38 finished with value: -0.13362408954994 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.000467590057824693, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.02996072564571055, 'reg_lambda': 0.011103943868501031, 'gamma': 86.93515078373409}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:25,206] Trial 39 finished with value: -0.13096792547376537 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 300, 'learning_rate': 0.00048232583936641, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 3.683089607401608, 'reg_lambda': 0.009686212189520739, 'gamma': 4.649887203756488}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:25,867] Trial 40 finished with value: -0.11914837585476121 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.0027773517027034358, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 4.807017754933868, 'reg_lambda': 0.009994057061499107, 'gamma': 93.22309366301388}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:29,814] Trial 41 finished with value: -0.09563725509590751 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.0026771422490409103, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.2491448150828842, 'reg_lambda': 0.0071628769766813125, 'gamma': 0.2848460543341742}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:32,347] Trial 42 finished with value: -0.10109486437888507 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.002135239229512217, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.03346952331357781, 'reg_lambda': 0.011891816678703104, 'gamma': 0.33093305456470384}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:35,525] Trial 43 finished with value: -0.10614920440224902 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.001669246872686733, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.023726313244954184, 'reg_lambda': 0.008471373158266321, 'gamma': 0.2607687634662715}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:37,282] Trial 44 finished with value: -0.11072388444399861 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.001426971849988646, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.04752084193635134, 'reg_lambda': 0.00914216219084518, 'gamma': 0.36759081881851013}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:41,243] Trial 45 finished with value: -0.08353084193398844 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 800, 'learning_rate': 0.001747337909031913, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.391303180657327, 'reg_lambda': 4.8588136995076185, 'gamma': 0.21258525383270496}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:47,582] Trial 46 finished with value: -0.07687037723312976 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.0017574707146819956, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.259215879659031, 'reg_lambda': 0.0006538179744910795, 'gamma': 0.27634965334320793}. Best is trial 21 with value: -0.13733284703106718.
[I 2026-07-17 11:44:51,269] Trial 47 finished with value: -0.08963301272859187 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.0016852705019934253, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.38385539014317827, 'reg_lambda': 4.4490549781911835, 'gamma': 0.3016627354063384}. Best is trial 21 with value: -0.13733284703106718.
