[I 2026-07-17 11:44:56,468] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:48:52,563] Trial 44 finished with value: -0.7823856217890819 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.0002237329100565417, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00013977845566521917, 'reg_lambda': 13.421075966373849, 'gamma': 6.530630839096969e-06}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:48:54,378] Trial 45 finished with value: -0.6653019168940097 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.005968442791087778, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00015099962055371342, 'reg_lambda': 11.65210430644454, 'gamma': 1.1221371966422253e-05}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:49:04,977] Trial 46 finished with value: -0.7290833164460555 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.00020894791340306495, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0003162243141055755, 'reg_lambda': 0.001831276058662634, 'gamma': 1.2914405867296338e-06}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:49:20,007] Trial 47 finished with value: -0.720597093948576 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.00025925593268243016, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00029933360348385343, 'reg_lambda': 22.483723957244116, 'gamma': 1.2719237298724078e-06}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:49:20,869] Trial 48 finished with value: -0.7788391182975624 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 350, 'learning_rate': 0.00024210407638432688, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 28.30827031510685, 'reg_lambda': 12.581644475234146, 'gamma': 5.025804157245045e-06}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:49:33,694] Trial 49 finished with value: -0.7278201105312551 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.00020991629549258007, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0001035390975035165, 'reg_lambda': 16.316922550841493, 'gamma': 5.482879729586127e-06}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:49:46,192] Trial 50 finished with value: -0.6486120758342747 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.00664568639587736, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0005099968873118465, 'reg_lambda': 15.827384031646854, 'gamma': 1.1127549379774736e-06}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:49:51,117] Trial 51 finished with value: -0.6595058322534837 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.006647316909084398, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 24.71380514524628, 'reg_lambda': 4.3302173619864104e-05, 'gamma': 1.3895858925829068e-06}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:50:03,132] Trial 52 finished with value: -0.7565631762797396 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.00010454093018146095, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 9.94725918239828e-05, 'reg_lambda': 4.924537878221738, 'gamma': 1.1049150519733366e-06}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:50:23,696] Trial 53 finished with value: -0.844426707458259 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.353906984101839, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 5.491874972556607e-06, 'reg_lambda': 4.408640499998221, 'gamma': 1.2967238480090966e-06}. Best is trial 11 with value: -0.8640370946162611.
[I 2026-07-17 11:50:29,308] Trial 54 finished with value: -0.6814916302057081 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.05885343502112042, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 9.150251155529654e-06, 'reg_lambda': 3.473188590184946, 'gamma': 2.7167073080022205e-06}. Best is trial 11 with value: -0.8640370946162611.
