[I 2026-07-17 11:13:43,492] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:19:26,160] Trial 33 finished with value: -0.17190794249996316 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 850, 'learning_rate': 0.001225737370083819, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 1.4731531365531416e-05, 'reg_lambda': 9.522099059537875e-06, 'gamma': 0.005569129471649801}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:19:32,903] Trial 34 finished with value: -0.16451100682411557 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.002932761886319221, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.03032521447171669, 'reg_lambda': 9.429102743533427e-06, 'gamma': 0.004502815706737942}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:19:40,459] Trial 35 finished with value: -0.22523696710215602 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.49660150335049286, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.023030206748347545, 'reg_lambda': 1.1842637902908733e-05, 'gamma': 0.0018933833053748398}. Best is trial 35 with value: -0.22523696710215602.
[I 2026-07-17 11:19:47,750] Trial 36 finished with value: -0.16993529335412058 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.018701203683888112, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.030939973871357978, 'reg_lambda': 6.6778879564107474e-06, 'gamma': 0.0067562935275094285}. Best is trial 35 with value: -0.22523696710215602.
[I 2026-07-17 11:19:54,188] Trial 38 finished with value: -0.20122621374903152 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.00043016321301230285, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 8.486480116900153e-06, 'reg_lambda': 3.1438325002611284e-06, 'gamma': 1.9615364868246173e-05}. Best is trial 35 with value: -0.22523696710215602.
[I 2026-07-17 11:19:54,439] Trial 37 finished with value: -0.16917345755251412 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.021710348280623216, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0005007283935845852, 'reg_lambda': 4.367789005013064e-06, 'gamma': 0.007064003302989205}. Best is trial 35 with value: -0.22523696710215602.
[I 2026-07-17 11:19:55,876] Trial 39 finished with value: -0.16806281831356037 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.015967548227654144, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.6381177074066908e-05, 'reg_lambda': 3.3727183732161895e-06, 'gamma': 2.6413560511419833e-05}. Best is trial 35 with value: -0.22523696710215602.
[I 2026-07-17 11:19:57,433] Trial 40 finished with value: -0.20145217792092385 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.0003908454209589624, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 9.698885382718946e-06, 'reg_lambda': 3.4877780492883734e-06, 'gamma': 2.370085564150609e-05}. Best is trial 35 with value: -0.22523696710215602.
[I 2026-07-17 11:19:57,930] Trial 41 finished with value: -0.16824387835959279 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.014242142084808762, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 6.487377773195623e-06, 'reg_lambda': 0.0008668490356405127, 'gamma': 2.4262220303332278e-05}. Best is trial 35 with value: -0.22523696710215602.
[I 2026-07-17 11:19:58,725] Trial 42 finished with value: -0.2012525333969653 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.00042555065437754723, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 6.518342952588409e-06, 'reg_lambda': 0.05326574873385975, 'gamma': 2.4568704368305953e-05}. Best is trial 35 with value: -0.22523696710215602.
[I 2026-07-17 11:20:08,223] Trial 43 finished with value: -0.21493056232894076 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.4295564953299348, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00024155405632785308, 'reg_lambda': 2.825720354760139e-06, 'gamma': 0.00034501570554170026}. Best is trial 35 with value: -0.22523696710215602.
[I 2026-07-17 11:20:19,041] Trial 44 finished with value: -0.22055079811345876 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1650, 'learning_rate': 0.4705248603879137, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0006155639644771296, 'reg_lambda': 4.129491234292399e-05, 'gamma': 2.858655399426265e-05}. Best is trial 35 with value: -0.22523696710215602.
[I 2026-07-17 11:20:29,168] Trial 45 finished with value: -0.21613249609299162 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.4238221639572115, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0008440044590233601, 'reg_lambda': 4.665944681682427e-05, 'gamma': 0.0002532998270506364}. Best is trial 35 with value: -0.22523696710215602.
[I 2026-07-17 11:20:42,936] Trial 46 finished with value: -0.23138436235222742 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1500, 'learning_rate': 0.40150821982086043, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 1.4914909679339028, 'reg_lambda': 5.267012001046361e-05, 'gamma': 0.0003075470171819582}. Best is trial 46 with value: -0.23138436235222742.
