[I 2026-07-17 11:29:48,288] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:34:23,831] Trial 32 finished with value: -0.33120019806046924 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.00022838536665647453, 'max_depth': 11, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 1.0777301516686562, 'reg_lambda': 0.002076105902676459, 'gamma': 1.245895084735764e-06}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:34:24,754] Trial 33 finished with value: -0.3310055064691206 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.0002315269314341544, 'max_depth': 11, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.1587716326319735, 'reg_lambda': 0.001155160411316259, 'gamma': 0.41060294084292004}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:34:26,114] Trial 34 finished with value: -0.3056364205666982 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.0021528108745210934, 'max_depth': 11, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.043860500945723906, 'reg_lambda': 0.0012967335527719255, 'gamma': 0.4152823349457708}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:34:28,925] Trial 35 finished with value: -0.3183282323744907 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.0002819599172957918, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.5760971620275109, 'reg_lambda': 0.00169171885463447, 'gamma': 0.47581194333160565}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:34:32,151] Trial 36 finished with value: -0.2465539908559112 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.00237512612059965, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.051584891741535334, 'reg_lambda': 0.00197437155368941, 'gamma': 0.7345740785607383}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:34:35,892] Trial 37 finished with value: -0.24714408836918836 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.0019212682355315735, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.7126383180416982, 'reg_lambda': 0.00259455563771846, 'gamma': 0.6608180942713697}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:34:38,815] Trial 38 finished with value: -0.3119856200331227 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.00037354872628767363, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.2692753767627445, 'reg_lambda': 1.327782835532984e-05, 'gamma': 1.108710663302142}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:34:41,890] Trial 39 finished with value: -0.3099899664810172 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.0004106330860164, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0571332567955489, 'reg_lambda': 0.002475487117509034, 'gamma': 1.0776392542704278}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:34:47,704] Trial 40 finished with value: -0.3018230819989787 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.0005374187657274709, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.040029641195416396, 'reg_lambda': 2.156831198474861e-05, 'gamma': 0.000122155333244987}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:34:53,102] Trial 41 finished with value: -0.3110041064885341 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 400, 'learning_rate': 0.00040593864317463167, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.04846358361384408, 'reg_lambda': 1.438644428904105e-05, 'gamma': 0.0002109615915468224}. Best is trial 27 with value: -0.3323364943821495.
