[I 2026-07-17 14:06:46,786] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 14:11:24,780] Trial 37 finished with value: -0.06260566653372678 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.05278686299577871, 'max_depth': 11, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.016730775799501003, 'reg_lambda': 0.398892599311514, 'gamma': 0.0005440818805839959}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:11:25,357] Trial 38 finished with value: -0.06546811209363237 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.160910228634205, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.012542153681021628, 'reg_lambda': 1.1377973626287573e-06, 'gamma': 0.0006619873549292715}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:11:40,663] Trial 39 finished with value: -0.10765879070008709 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.14512018148795885, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.009802721970777238, 'reg_lambda': 0.22626488380091178, 'gamma': 0.016370210893542986}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:11:55,704] Trial 40 finished with value: -0.11110929329485603 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.16546846399681103, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.012251660694138649, 'reg_lambda': 0.38059642086226625, 'gamma': 0.014196215875818803}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:12:10,641] Trial 41 finished with value: -0.11832402650936383 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.1504068251928087, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.012214925121829196, 'reg_lambda': 1.3904165965599825e-06, 'gamma': 0.016593399927661363}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:12:25,434] Trial 42 finished with value: -0.12508083339199538 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.18234413883600623, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.03033083670603153, 'reg_lambda': 1.3959091114330572e-06, 'gamma': 0.018150862725764595}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:12:41,912] Trial 43 finished with value: -0.12408324826703504 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2300, 'learning_rate': 0.18367170331892682, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 2.356486110363319e-05, 'reg_lambda': 1.0783965491077614e-06, 'gamma': 0.01443774352611774}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:12:52,283] Trial 44 finished with value: -0.11389531651693846 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.1848621262630953, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.12158752582856125, 'reg_lambda': 1.966985188846051e-06, 'gamma': 0.017435771035297518}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:13:02,725] Trial 45 finished with value: -0.10407335275131206 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.18786300951390736, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.18556433088522728, 'reg_lambda': 0.00013202480184604197, 'gamma': 0.01526315786367303}. Best is trial 15 with value: -0.15885259407044372.
[I 2026-07-17 14:13:13,301] Trial 46 finished with value: -0.12124925196819358 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.22248899936352332, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 2.4725257999858742e-05, 'reg_lambda': 7.475029386029558e-05, 'gamma': 0.015463504376658912}. Best is trial 15 with value: -0.15885259407044372.
