[I 2026-07-17 15:31:05,460] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:34:15,158] Trial 33 finished with value: -0.06820940756007772 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.12922344094311988, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.1438981373928116, 'reg_lambda': 0.06080895109171238, 'gamma': 1.5772453355587152e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:19,290] Trial 34 finished with value: -0.07374300724317506 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.16018229713474985, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 4.217550684397461e-05, 'reg_lambda': 0.0011773720550083244, 'gamma': 1.1961458207182806e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:23,162] Trial 35 finished with value: -0.07196465692007367 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.12869406127712477, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.08794604026091342, 'reg_lambda': 0.07169951860166546, 'gamma': 1.349726725945024e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:27,105] Trial 36 finished with value: -0.07593533250175684 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.11780364312634974, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 1.5006941302874277, 'reg_lambda': 0.05876051163324308, 'gamma': 9.282444733568767e-06}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:31,919] Trial 37 finished with value: -0.06552676999745391 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.06128321431969633, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 3.5613498699728424e-05, 'reg_lambda': 0.06150203878704961, 'gamma': 1.3880323819374112e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:37,424] Trial 38 finished with value: -0.08177761454992608 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1500, 'learning_rate': 0.06698101741924517, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 1.0878466375632925, 'reg_lambda': 0.04061403657863024, 'gamma': 3.9665870799924865e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:40,966] Trial 39 finished with value: -0.06280183356226267 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.06879579047158935, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0725268736143763, 'reg_lambda': 0.0014231624023858126, 'gamma': 4.591911363751144e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:46,268] Trial 40 finished with value: -0.07195077252583339 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1500, 'learning_rate': 0.05301954368194692, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.06870029089024887, 'reg_lambda': 0.001312552108515502, 'gamma': 6.580078875966782e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:51,340] Trial 41 finished with value: -0.07307558869976016 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.044833127945807294, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 1.234503835974535, 'reg_lambda': 0.0023003972358504785, 'gamma': 6.091670941592963e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:54,746] Trial 42 finished with value: -0.06716978797825349 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.060373144609379176, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.037858421042962956, 'reg_lambda': 0.36385276445197007, 'gamma': 4.5987954867472355e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:34:57,858] Trial 43 finished with value: -0.06441561647051336 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.05014026866762002, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 2.1232494695323827, 'reg_lambda': 0.19182832763464525, 'gamma': 6.697820012927509e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:35:00,752] Trial 44 finished with value: -0.0587714118303028 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1000, 'learning_rate': 0.056277398032993614, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 3.971165388052586, 'reg_lambda': 0.002444186677288312, 'gamma': 6.639796683955443e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:35:04,150] Trial 45 finished with value: -0.06460359311378559 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.042546625842628034, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.038179730640001235, 'reg_lambda': 0.2671491724227669, 'gamma': 5.759991945161634e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:35:07,723] Trial 46 finished with value: -0.06117236078928284 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1000, 'learning_rate': 0.029153239891425313, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.03634497387515942, 'reg_lambda': 0.0021908404510569152, 'gamma': 9.001937650510088e-05}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:35:08,997] Trial 48 finished with value: -0.06507633012886416 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.2578743801092969, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.015823724664281703, 'reg_lambda': 0.00021671454193776768, 'gamma': 0.00033859179700945205}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:35:09,308] Trial 47 finished with value: -0.056811266509040385 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 400, 'learning_rate': 0.03333101094717826, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0021959311563334192, 'reg_lambda': 0.20676579060119482, 'gamma': 4.512773943637279e-06}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:35:11,003] Trial 49 finished with value: -0.09953399006507818 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.2559333149614854, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.003980162857338201, 'reg_lambda': 0.0002713264914365997, 'gamma': 0.0003823108343890129}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:35:11,789] Trial 50 finished with value: -0.0769998052866917 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.2977817037997277, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.002481795663492578, 'reg_lambda': 0.0004063536150820344, 'gamma': 0.00018169235554231982}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:35:12,379] Trial 51 finished with value: -0.07036832129696255 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.27000978738844417, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0025016565118104765, 'reg_lambda': 0.00026116771004808514, 'gamma': 0.0003198584953934271}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:35:14,481] Trial 52 finished with value: -0.10235200700581762 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 350, 'learning_rate': 0.2869725299559818, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0033740887636986325, 'reg_lambda': 0.0002809138184982858, 'gamma': 0.0002144518272134971}. Best is trial 18 with value: -0.11063055815318368.
[I 2026-07-17 15:35:16,163] Trial 53 finished with value: -0.0839405270512498 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.28932872743599364, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0040778580977723295, 'reg_lambda': 0.00019107451554473693, 'gamma': 0.0003120701020946165}. Best is trial 18 with value: -0.11063055815318368.
