[I 2026-07-17 16:05:21,664] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 16:10:46,677] Trial 36 finished with value: -1.618321160970511 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2200, 'learning_rate': 0.2066667165960986, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 1.8737019114643984e-05, 'reg_lambda': 91.27511183108253, 'gamma': 0.0014765823295339897}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:11:02,540] Trial 37 finished with value: -1.4828102311409177 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2200, 'learning_rate': 0.18460280317065075, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0012246676050652263, 'reg_lambda': 2.5616720698856006, 'gamma': 5.53104113933497e-05}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:11:18,000] Trial 38 finished with value: -1.446489537891925 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2200, 'learning_rate': 0.16658628349163407, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00117181810980331, 'reg_lambda': 2.345885923264949, 'gamma': 0.0014013504722488344}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:11:33,549] Trial 39 finished with value: -1.7669788585735575 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.24044076861261887, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0011555484546814964, 'reg_lambda': 86.38198098777907, 'gamma': 0.001093127800047135}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:11:47,547] Trial 40 finished with value: -1.5973303221994275 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.18842693267471092, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0016450125619598636, 'reg_lambda': 35.50121530760741, 'gamma': 0.0016555982148817587}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:12:00,084] Trial 41 finished with value: -1.7293181586889026 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1900, 'learning_rate': 0.15283082349158664, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 5.937069727192909e-06, 'reg_lambda': 76.78364497640193, 'gamma': 0.0019089541388603998}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:12:14,921] Trial 42 finished with value: -1.2126658774061054 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1950, 'learning_rate': 0.037931486432085576, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.001834563806020921, 'reg_lambda': 18.74560385825319, 'gamma': 0.0019675162357623392}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:12:28,781] Trial 43 finished with value: -1.221779316029083 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1900, 'learning_rate': 0.042000330071511875, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0009770480935958677, 'reg_lambda': 18.182212788571686, 'gamma': 0.0008570401298281641}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:12:35,789] Trial 44 finished with value: -0.9539963738189688 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1950, 'learning_rate': 0.056302159399920566, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0020223795806968365, 'reg_lambda': 14.511678669910607, 'gamma': 0.019514418789624503}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:12:36,191] Trial 45 finished with value: -0.5609774539763347 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1900, 'learning_rate': 0.05611562394441051, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 4.80397793527292e-06, 'reg_lambda': 11.082678312235432, 'gamma': 0.16252974907885878}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:12:39,192] Trial 46 finished with value: -0.5849296662222296 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.040084843398484477, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 6.42076693691889e-06, 'reg_lambda': 10.857466343723873, 'gamma': 0.1382357421167068}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:12:46,655] Trial 47 finished with value: -0.9754392266827887 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1900, 'learning_rate': 0.06250712672500429, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 4.538621363194137e-06, 'reg_lambda': 11.859605750597085, 'gamma': 0.011948465596366377}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:12:54,395] Trial 48 finished with value: -0.9053783088219426 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.04832926688560731, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 6.6527328756023884e-06, 'reg_lambda': 9.599254390908229, 'gamma': 0.013735080476895303}. Best is trial 31 with value: -9.605384815412577.
[I 2026-07-17 16:13:04,617] Trial 49 finished with value: -0.9472422429166254 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.05074191024082843, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 7.050980813742353e-06, 'reg_lambda': 6.2778413700257065, 'gamma': 0.022135912068598503}. Best is trial 31 with value: -9.605384815412577.
