[I 2026-07-17 11:25:57,026] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:32:47,263] Trial 37 finished with value: -0.19344565451009255 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.03785686509121559, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 6.471751161245836e-05, 'reg_lambda': 0.005959074106376057, 'gamma': 1.6247547694380977}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:32:51,445] Trial 38 finished with value: -0.19133704183339276 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 650, 'learning_rate': 0.03293873259586785, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 7.194807165684742, 'reg_lambda': 0.0038706511347853536, 'gamma': 0.00035042803012954454}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:32:52,600] Trial 39 finished with value: -0.20069700397903675 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.04101266350384988, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 11.605063472996314, 'reg_lambda': 0.004008399991615759, 'gamma': 1.6975604716000605}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:32:57,235] Trial 40 finished with value: -0.20231029280171747 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.04880403372360721, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 8.507051852451086, 'reg_lambda': 0.0028010514277135717, 'gamma': 3.3150069173801855}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:33:36,978] Trial 41 finished with value: -0.23200040130227345 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.055086091791099495, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.4362843079961047, 'reg_lambda': 0.0024228935283033656, 'gamma': 0.0002640189264290473}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:33:38,458] Trial 42 finished with value: -0.20028494328958094 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.039425154609396475, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 2.177416087835458, 'reg_lambda': 0.0027344520506897823, 'gamma': 3.8873109338607144}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:34:07,693] Trial 43 finished with value: -0.23143585311797688 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.06401020043545635, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.4622536246729176, 'reg_lambda': 0.0015235144400425884, 'gamma': 0.0004073804833760999}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:34:15,172] Trial 44 finished with value: -0.20726336171630416 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 500, 'learning_rate': 0.09794611888430726, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 1.4512186041302946, 'reg_lambda': 0.0022814376815511947, 'gamma': 0.00035102982409612943}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:34:24,977] Trial 45 finished with value: -0.2186408822817337 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.13191278767781084, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.6638687573211464, 'reg_lambda': 0.00254170022415349, 'gamma': 0.00021466707087840195}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:34:30,636] Trial 46 finished with value: -0.20717309989164634 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 550, 'learning_rate': 0.0914799793021054, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.4374016649210979, 'reg_lambda': 0.0008254604449297481, 'gamma': 8.70634160196291e-05}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:34:31,744] Trial 47 finished with value: -0.24380631807933437 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 950, 'learning_rate': 0.08037707474496106, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 1.823443234274275, 'reg_lambda': 0.0013031842353280138, 'gamma': 97.42009022445991}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:34:32,539] Trial 48 finished with value: -0.23820797134241628 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.00031692517283689114, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 1.6495851522871843, 'reg_lambda': 0.0008427699302186998, 'gamma': 91.11180336996476}. Best is trial 27 with value: -0.292387101066882.
[I 2026-07-17 11:34:37,737] Trial 49 finished with value: -0.23243610500002243 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.0003187086270522347, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 2.9299570561911272, 'reg_lambda': 0.07417734711977922, 'gamma': 0.0005233639820210079}. Best is trial 27 with value: -0.292387101066882.
