YB,F8,F12,F24,F70
463.0,0.4329,0.1882,1.2769,46.922
464.0,1.8122,0.6927,5.9037,125.0603
465.0,0.3046,0.0845,0.137,5.438
466.0,1.4218,0.3073,1.2876,40.5631
467.0,0.216,0.192,,34.7399
468.0,5.4329,1.3232,5.6895,108.7918
469.0,1.4669,0.4817,1.1769,30.2175
470.0,0.0354,0.1809,0.7058,11.2567
471.0,0.7119,0.2297,1.7053,
472.0,0.1679,0.041,0.0996,3.2337
473.0,,0.2899,0.5308,0.2699
474.0,,0.1432,0.3585,7.3023
475.0,0.4429,0.2175,0.6677,16.1127
476.0,0.3166,0.2663,4.8756,54.7268
477.0,0.6425,0.181,0.207,6.5306
478.0,0.7606,0.2996,0.2773,7.3894
479.0,0.3584,0.109,0.1937,6.2391
480.0,11.1394,2.863,,248.7826
481.0,5.5685,1.6972,12.0504,162.1224
482.0,1.5274,0.491,0.6005,24.193
483.0,38.9176,,,44.5425
484.0,0.0808,0.0264,0.1394,2.338
485.0,,0.0943,0.8021,
486.0,0.3028,0.0866,0.2462,4.0229
487.0,1.8686,0.9551,6.1219,69.1295
488.0,,,0.2525,
489.0,0.4324,0.1672,0.4633,8.8786
490.0,,,5.1381,45.6225
491.0,0.5906,0.2054,1.1829,
492.0,3.5999,1.3523,,117.3508
493.0,1.4134,0.3954,,56.5915
494.0,0.0482,0.0153,0.042,0.7908
495.0,5.6505,0.4637,3.3159,0.4957
496.0,0.7048,0.3345,2.4585,19.5466
497.0,5.5762,1.4123,,156.0982
498.0,0.3151,0.0874,0.191,5.3413
499.0,0.0961,0.0254,0.0538,3.3963
500.0,0.2648,0.1025,0.1765,4.0198
501.0,5.6969,0.6033,4.3721,1.2285
502.0,0.112,0.0601,0.8699,
503.0,1.5076,0.4931,2.8185,46.9974
504.0,1.2262,0.7544,4.9403,20.7512
505.0,0.0764,0.0155,0.0393,1.1719
506.0,0.4292,0.1787,0.177,5.8247
507.0,0.3577,0.1626,1.8168,5.2314
508.0,0.2186,0.0654,1.4451,15.3828
509.0,0.5672,0.1404,0.3598,16.4533
510.0,,0.0271,0.0993,0.2977
511.0,0.0343,0.0145,0.0685,1.6042
512.0,0.3007,0.1026,0.2155,1.2709
513.0,0.4271,0.1315,0.8158,14.1283
514.0,0.123,0.0256,0.0682,0.581
515.0,0.7206,0.3135,4.1783,78.2873
516.0,0.4736,0.1419,0.7959,13.5116
517.0,0.345,0.1099,1.653,18.9994
518.0,0.8676,0.2972,2.9458,75.9097
519.0,0.3883,0.1527,0.3903,
520.0,0.4626,0.1227,0.272,11.5348
521.0,1.2795,0.3268,1.458,28.013
522.0,0.8591,0.2267,1.0579,11.306
523.0,8.0677,,,161.019
524.0,0.5036,0.1406,0.6357,5.8118
525.0,1.3941,0.2346,1.7609,22.78
526.0,0.1655,0.0792,0.2332,
527.0,0.6718,0.3107,2.3428,53.8864
528.0,1.1706,0.4257,1.7572,2.2634
529.0,0.4175,0.1359,0.2532,5.5415
530.0,0.2592,0.1568,1.0766,2.534
531.0,0.2546,0.0878,0.2665,
532.0,0.0709,0.0305,0.0857,2.9572
533.0,0.5401,0.075,0.2209,19.6199
534.0,0.2503,0.1135,1.2044,15.8116
535.0,0.2663,0.0653,0.1436,11.4385
536.0,0.1678,0.0299,0.1447,2.4891
537.0,,0.0399,0.4137,12.4931
538.0,2.487,0.5321,,327.0674
539.0,0.3723,0.0907,0.247,5.3737
540.0,1.2694,0.3887,0.7788,25.2176
541.0,0.2231,0.0809,1.0848,18.4112
542.0,0.1736,0.0397,0.9575,7.1595
543.0,0.0725,0.0421,0.113,5.1812
544.0,0.3064,0.1367,0.5444,6.2397
545.0,0.1398,0.0296,0.1628,4.4652
546.0,0.151,0.0288,0.3915,7.6314
547.0,1.1473,0.3987,1.6444,36.4737
548.0,5.0106,1.5316,8.442,123.1947
549.0,0.2014,0.05,1.6297,91.7974
550.0,0.1411,0.0422,0.281,8.6413
551.0,0.1179,0.0327,0.0813,2.8812
552.0,0.1804,0.0426,0.1946,4.3704
553.0,0.29,0.0836,0.1705,9.1185
554.0,1.9743,0.5036,1.1675,9.4674
555.0,0.1268,0.0476,0.0931,3.7025
556.0,0.6542,0.3298,1.1129,2.9072
557.0,0.4083,0.1142,0.269,8.6895
558.0,10.3248,,,246.2178
559.0,3.1018,1.2339,,462.681
560.0,0.0709,,,6.4005
561.0,0.2258,0.0373,0.8371,38.8328
562.0,0.3015,0.2621,0.2178,23.3186
563.0,2.6373,0.8415,8.2872,126.3187
564.0,0.2068,0.0768,0.2811,
565.0,,0.044,0.142,0.8593
566.0,1.3037,0.3606,3.4058,25.7773
567.0,0.6372,0.203,1.0219,50.6761
568.0,0.4258,0.0813,1.5038,22.0938
569.0,,0.3621,1.8242,0.6022
570.0,0.6311,0.227,0.5244,4.9922
571.0,,0.1871,1.1476,9.2945
572.0,0.8298,0.2819,1.4453,
573.0,0.1198,0.022,0.1481,3.0317
574.0,0.2027,0.0362,0.0879,3.4734
575.0,4.5054,1.052,,9.4019
576.0,2.7621,0.597,2.844,21.0927
577.0,2.0463,0.4801,6.3658,73.2255
578.0,,0.0834,0.1203,3.7125
579.0,0.1727,0.0485,0.259,2.4559
580.0,0.1345,0.0359,0.1472,3.5278
581.0,0.3101,0.0658,0.2229,4.3682
582.0,1.9848,0.6099,3.3413,23.6722
583.0,0.1669,0.0407,0.0804,3.8759
584.0,0.6577,0.1647,1.6447,32.6722
585.0,0.7387,0.2251,1.6397,16.9874
586.0,0.1621,0.0424,0.6352,13.0851
587.0,0.841,0.2141,1.4644,32.5184
588.0,,,0.5522,11.8968
589.0,,,,
590.0,2.9909,0.8753,,56.6551
591.0,0.5845,0.1482,0.2109,7.018
592.0,1.0783,0.2432,0.6843,19.1009
593.0,0.162,0.0413,0.0975,
594.0,0.8694,0.1836,1.1699,29.4015
595.0,0.2776,0.0911,0.2755,7.4825
596.0,0.9418,0.2549,0.8357,16.0158
597.0,,,1.0884,
598.0,0.474,0.1883,3.8232,94.3288
599.0,0.2331,0.0816,0.3504,8.1201
600.0,1.2513,0.4322,1.9259,46.6131
601.0,0.7015,0.5825,6.0201,17.9618
602.0,0.3114,0.1295,0.2449,5.3946
603.0,1.2164,0.4981,3.1515,
604.0,0.6034,0.159,0.8115,13.1741
605.0,0.779,0.1397,0.3424,15.6919
606.0,0.342,0.0855,0.2632,8.1141
