YB,F8,e_F8,F12,e_F12,F24,e_F24,F70,e_F70,N8,N12,N24,N70,f_SAT,f_MULTI,f_NOSRC,f_PCONF,f_CEXT
159.0,0.9443,0.0934,0.2969,0.2937,0.9652,0.1391,12.342,0.1868,5,5,5,5,0000,0,0000,0000,0
160.0,0.2352,0.3681,0.087,0.5512,0.5597,0.318,5.9153,0.1353,5,5,5,5,0000,0,0000,0000,0
161.0,0.1209,0.2993,0.0804,0.3667,0.1782,0.4161,2.9548,0.3424,5,5,5,5,0000,1,0000,0000,0
162.0,3.6267,0.2612,1.6212,0.3688,12.5932,0.1752,123.3921,0.3197,5,5,5,5,0000,1,0000,0000,0
163.0,5.9667,0.3985,,,,,433.2568,0.5002,5,0,0,5,0110,1,0000,0000,0
164.0,0.0949,0.2896,0.0305,0.2429,0.0377,0.1371,1.3735,0.1462,5,5,5,5,0000,0,0000,0000,0
165.0,0.5489,0.4389,0.1906,0.571,0.4678,0.4568,19.852,0.0612,5,5,5,5,0000,1,0000,0000,0
166.0,0.2501,0.4755,0.1493,0.5109,0.4833,0.243,17.4669,0.1892,5,5,5,5,0000,1,0000,0000,0
167.0,0.0889,0.501,0.0385,0.3137,0.1549,0.2259,5.573,1.0059,5,5,5,5,0000,0,0000,0000,0
168.0,0.5143,0.1593,0.1781,0.205,0.8686,0.0853,18.9991,0.1342,5,5,5,5,0000,0,0000,0000,0
169.0,0.4018,0.2153,0.097,0.5466,0.7227,0.2724,14.7402,0.1673,5,5,5,5,0000,0,0000,0000,0
170.0,0.198,0.507,0.056,0.5871,0.5327,0.3925,,0.1508,5,5,5,5,0000,1,0000,0001,0
171.0,1.1134,0.3629,0.3902,0.1788,1.3745,0.0971,40.705,0.1311,5,5,5,5,0000,1,0000,0000,0
172.0,,0.2122,0.1707,0.63,0.1948,0.3403,0.2764,1.1238,5,5,5,5,0000,0,1000,0000,0
173.0,0.2244,0.1692,0.05,0.5413,0.2316,0.2513,4.9172,0.1136,5,5,5,5,0000,0,0000,0000,0
174.0,0.2491,0.4453,0.0897,0.4984,0.4122,0.3395,10.196,0.2365,5,5,5,5,0000,1,0000,0000,0
175.0,2.5695,0.8739,0.7207,0.7765,2.5723,0.6287,103.919,0.7291,5,5,5,5,0000,1,0000,0000,0
176.0,1.6827,0.4102,0.4697,0.2754,1.2891,0.3007,26.1244,0.2526,5,5,5,5,0000,0,0000,0000,0
177.0,0.6697,0.171,0.1939,0.5177,2.1075,0.2366,16.385,0.0577,5,5,5,5,0000,0,0000,0000,0
178.0,,0.585,0.0536,1.3914,0.0832,1.2591,,1.0356,5,5,5,5,0000,0,0000,1001,0
179.0,0.0744,0.1329,0.0254,0.5869,0.0447,0.464,1.9076,0.3816,5,5,5,5,0000,0,0000,0000,0
180.0,0.5316,0.2374,0.1821,0.4843,5.1648,0.2947,70.9744,0.1001,5,5,5,5,0000,0,0000,0000,0
181.0,0.6677,0.925,0.3708,0.5371,2.3093,0.2424,45.3982,0.3581,5,5,5,5,0000,0,0000,0000,0
182.0,0.1776,0.3766,0.073,0.5254,0.1265,0.4583,4.1068,0.2372,5,5,5,5,0000,0,0000,0000,0
183.0,0.1927,0.5676,0.0885,0.6427,0.1101,1.0682,1.8461,0.6717,5,5,5,5,0000,0,0000,0000,0
184.0,0.2448,0.2007,0.0897,0.341,0.1676,0.3401,2.4369,0.3611,5,5,5,5,0000,0,0000,0000,0
185.0,0.63,0.2114,0.3411,0.4686,4.8719,0.2711,87.2855,0.1099,5,5,5,5,0000,0,0000,0000,0
186.0,3.2582,0.1392,0.8526,0.3647,1.9952,0.376,35.6794,0.1635,5,5,5,5,0000,0,0000,0000,0
187.0,0.1502,0.6408,0.0919,0.291,0.479,0.0957,5.7825,0.2284,5,5,5,5,0000,0,0000,0000,0
188.0,0.5868,0.4105,0.1866,0.3514,0.6075,0.2161,,0.3375,5,5,5,5,0000,1,0000,0001,0
189.0,0.4396,0.0195,0.0787,0.3912,0.2232,0.1729,4.2501,0.2885,5,5,5,5,0000,0,0000,0000,0
190.0,0.4274,0.392,0.2434,0.4122,1.8573,0.3206,43.3193,0.1683,5,5,5,5,0000,1,0000,0000,0
191.0,0.2069,0.5701,0.0709,0.3845,0.0957,0.3072,4.3517,0.1995,5,5,5,5,0000,1,0000,0000,0
192.0,0.3279,0.4632,0.1536,0.5852,1.9841,0.2888,18.6679,0.3847,5,5,5,5,0000,0,0000,0000,0
193.0,2.4021,0.0429,0.7085,0.3944,2.4765,0.2082,0.8946,0.2496,5,5,5,5,0000,0,0000,0000,0
194.0,,0.8419,0.0419,1.1011,0.792,0.1566,38.9408,0.921,5,5,5,5,0000,0,0000,1000,0
195.0,1.4382,0.3509,0.4873,0.2058,,,,0.224,5,5,0,5,0010,0,0000,0001,0
196.0,0.5018,0.3126,0.1112,0.3987,1.9203,0.0988,63.1197,0.3908,5,5,5,5,0000,0,0000,0000,0
197.0,0.2843,0.2259,0.0876,0.5098,0.6396,0.2647,12.6975,0.0537,5,5,5,5,0000,0,0000,0000,0
198.0,0.7569,0.232,0.2859,0.6952,3.0402,0.2875,78.1823,0.1128,5,5,5,5,0000,1,0000,0000,0
199.0,0.2237,0.4479,0.0594,0.5303,0.1624,0.3132,8.5183,0.3518,5,5,5,5,0000,1,0000,0000,0
200.0,0.0945,0.6563,0.0524,0.5743,0.0879,0.4513,3.1658,0.281,5,5,5,5,0000,0,0000,0000,0
201.0,1.5489,0.3331,0.6062,0.5052,2.6661,0.3666,41.1043,0.1828,5,5,5,5,0000,1,0000,0000,0
202.0,0.5719,0.2198,0.1138,0.5812,0.5526,0.3194,21.022,0.2656,5,5,5,5,0000,0,0000,0000,0
203.0,0.6368,0.1414,0.1287,0.5523,1.7819,0.2511,30.9227,0.1147,5,5,5,5,0000,0,0000,0000,0
204.0,0.1997,0.2352,0.0523,0.5809,0.0948,0.4314,4.4552,0.2886,5,5,5,5,0000,0,0000,0000,0
205.0,0.5671,0.2417,0.1378,0.4995,0.7377,0.2917,21.7991,0.1128,5,5,5,5,0000,0,0000,0000,0
206.0,0.2787,0.4343,0.166,0.5985,0.6056,0.4108,23.1493,0.3301,5,5,5,5,0000,0,0000,0000,0
207.0,0.1516,0.5986,0.112,0.5837,0.4719,0.4649,,0.2078,5,5,5,5,0000,0,0001,0001,0
208.0,0.3326,0.2356,0.0768,0.5578,0.2774,0.3413,9.9827,0.1864,5,5,5,5,0000,0,0000,0000,0
