[I 2026-07-14 16:55:56,109] A new study created in RDB with name: my-study
[I 2026-07-14 17:00:16,838] Trial 32 finished with value: -0.6750379695586377 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.006094473479356435, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0003455470216272165, 'reg_lambda': 3.4859790420598486e-05, 'gamma': 10.161415103838387}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:00:20,172] Trial 33 finished with value: -0.6597415744067745 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.006413379132725117, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0004069286345384421, 'reg_lambda': 2.352595655095555e-05, 'gamma': 5.5784021078954}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:00:23,392] Trial 34 finished with value: -0.672355855629603 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.006399258361116149, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0004236083908466866, 'reg_lambda': 3.406338837984731e-05, 'gamma': 8.80322239415599}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:00:26,579] Trial 35 finished with value: -0.6770825049560512 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.4241721439084415, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0003903562319472379, 'reg_lambda': 0.06476110348176671, 'gamma': 10.691211975737767}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:00:31,863] Trial 36 finished with value: -0.6530119049385247 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.07236054886366554, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 1.1159260082877666e-06, 'reg_lambda': 0.07093791632450258, 'gamma': 1.2674274736513373}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:00:36,303] Trial 37 finished with value: -0.6472661842776818 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.05411763049938277, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 1.4617670621391047e-06, 'reg_lambda': 0.06008809001090495, 'gamma': 1.4164875316818886}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:00:42,792] Trial 38 finished with value: -0.6578465776360859 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.07351187216641929, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.029929213449056337, 'reg_lambda': 0.026578400471169213, 'gamma': 1.1330397926189988}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:00:49,546] Trial 39 finished with value: -0.6409031493728093 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2200, 'learning_rate': 0.0035640961213119953, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.044223804772570006, 'reg_lambda': 0.032940376295618176, 'gamma': 1.198851144027708}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:00:58,611] Trial 40 finished with value: -0.6402014105142436 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.0037133838031558003, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.057687449510473346, 'reg_lambda': 0.0649085291041394, 'gamma': 1.0718894830905832}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:01:01,966] Trial 41 finished with value: -0.7173347940122393 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.0034177696762913365, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.023667791511642385, 'reg_lambda': 0.07338470365216802, 'gamma': 27.027530729783496}. Best is trial 21 with value: -0.7913973345232271.
