[I 2026-07-14 18:23:30,307] A new study created in RDB with name: my-study
[I 2026-07-14 18:25:49,510] Trial 32 finished with value: -0.0943329140685442 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.11546682350968056, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.021663528351358846, 'reg_lambda': 1.051842029094651, 'gamma': 0.001098622390333363}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:25:57,246] Trial 33 finished with value: -0.10049625853171813 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.14026625413962748, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.01874363064651251, 'reg_lambda': 1.0848880774005876, 'gamma': 0.0006401501810593716}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:26:04,866] Trial 34 finished with value: -0.09096510895760095 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.10013148265436003, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.011938135300215211, 'reg_lambda': 0.5185613206334624, 'gamma': 0.0010006545532843455}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:26:13,023] Trial 35 finished with value: -0.10051932442704316 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.1110785579710934, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.34035706952837264, 'reg_lambda': 0.9948512490708517, 'gamma': 0.0009157562871770085}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:26:19,602] Trial 36 finished with value: -0.10853889415503325 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.1143246549002271, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.1861541088186551, 'reg_lambda': 1.2967584034109114, 'gamma': 0.0007862457863338193}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:26:25,032] Trial 37 finished with value: -0.09318017971931468 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.12258718312614332, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.2158466111557547, 'reg_lambda': 0.0028266547046966553, 'gamma': 0.0006865323073870836}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:26:28,134] Trial 38 finished with value: -0.07858019335356202 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.10760005724386291, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.14507361499093516, 'reg_lambda': 0.003215017355026495, 'gamma': 0.0007839544192891522}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:26:31,090] Trial 39 finished with value: -0.08453729543626082 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 750, 'learning_rate': 0.08867895050727366, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.30122386220957875, 'reg_lambda': 0.003312327972805021, 'gamma': 0.0005299402386436254}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:26:33,873] Trial 40 finished with value: -0.08158573859379353 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.07369041751302843, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.32336890126447515, 'reg_lambda': 0.0034518612908314298, 'gamma': 0.0008124751653961279}. Best is trial 23 with value: -0.12217781265120557.
[I 2026-07-14 18:26:36,346] Trial 41 finished with value: -0.12598962809572634 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 550, 'learning_rate': 0.4481992592154883, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.1800742740309529, 'reg_lambda': 0.003904699728591472, 'gamma': 0.004065699324245623}. Best is trial 41 with value: -0.12598962809572634.
