[I 2026-07-14 19:20:07,931] A new study created in RDB with name: my-study
[I 2026-07-14 19:24:23,764] Trial 32 finished with value: -0.1486650528136399 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.17080356104789565, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.0767455449636065e-06, 'reg_lambda': 1.9739206530540197e-05, 'gamma': 0.0037265248171182742}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:24:39,806] Trial 33 finished with value: -0.15089313623379333 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.17970992138863337, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.226349922686566e-06, 'reg_lambda': 2.1589672611795216e-05, 'gamma': 0.0026151827938767636}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:24:54,645] Trial 34 finished with value: -0.1437341420949939 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.15996617895727525, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.1258594286221464e-06, 'reg_lambda': 1.973251373206987e-05, 'gamma': 0.0028440984442879612}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:25:08,956] Trial 35 finished with value: -0.1426334341604393 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2250, 'learning_rate': 0.15814920178641542, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.2293753105103933e-06, 'reg_lambda': 1.423254520552442e-05, 'gamma': 3.7375112370779864e-05}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:25:24,426] Trial 36 finished with value: -0.13404631141943746 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2200, 'learning_rate': 0.13727137434436112, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0005117614836868727, 'reg_lambda': 1.8139475610290694e-05, 'gamma': 3.664100267157686e-05}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:25:38,352] Trial 37 finished with value: -0.12118262289210457 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1750, 'learning_rate': 0.11809257928859239, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 1.8648887091225392e-05, 'reg_lambda': 3.3650887484616454e-05, 'gamma': 1.0513530581316898e-05}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:25:51,298] Trial 38 finished with value: -0.13211587904509492 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.12455970104121797, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.4106150181990245e-05, 'reg_lambda': 2.270727751664417e-05, 'gamma': 4.256243496960956e-05}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:26:05,383] Trial 39 finished with value: -0.1315871855276644 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.13108653190282918, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 2.1602448518951797e-05, 'reg_lambda': 0.0006017548364357852, 'gamma': 0.007587827650382017}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:26:17,073] Trial 40 finished with value: -0.12489315437113338 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.12193884571788838, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 1.6997043627332012e-05, 'reg_lambda': 5.8663076219735876e-05, 'gamma': 0.02566801029301103}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:26:27,173] Trial 41 finished with value: -0.11590690471748098 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1800, 'learning_rate': 0.11569669741908971, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 1.991513434838964e-05, 'reg_lambda': 0.0004536676264420634, 'gamma': 0.014725854843938645}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:26:37,526] Trial 42 finished with value: -0.11092538808103079 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1700, 'learning_rate': 0.10889280914144416, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 1.600987696521876e-05, 'reg_lambda': 0.00032685372913412737, 'gamma': 0.01332817703660476}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:26:46,798] Trial 43 finished with value: -0.10783393395793198 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1650, 'learning_rate': 0.09844975097551277, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 1.9369309032366842e-05, 'reg_lambda': 0.0003592979861813796, 'gamma': 0.0194743344507086}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:26:55,430] Trial 44 finished with value: -0.11210869141071404 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1800, 'learning_rate': 0.09873093830009133, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 1.8771097813069534e-05, 'reg_lambda': 0.0006103012286111342, 'gamma': 0.013179981040266105}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:27:01,757] Trial 45 finished with value: -0.09141629998006595 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1700, 'learning_rate': 0.04251779572176776, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 5.8821191257707986e-05, 'reg_lambda': 0.000558197894990259, 'gamma': 0.025652495986350252}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:27:04,758] Trial 46 finished with value: -0.07830157159112462 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.04195125284918876, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 4.5406143033569084e-06, 'reg_lambda': 0.0006451810459919015, 'gamma': 0.07830886929867922}. Best is trial 18 with value: -0.19887959702092034.
