[I 2026-07-14 21:25:48,924] A new study created in RDB with name: my-study
[I 2026-07-14 21:28:50,477] Trial 32 finished with value: -0.24360651707309144 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1050, 'learning_rate': 0.11970807637960439, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 87.13842552127885, 'reg_lambda': 0.08499055683821183, 'gamma': 0.011407252743737226}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:28:51,654] Trial 33 finished with value: -0.24364618252352688 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1100, 'learning_rate': 0.08686113849843273, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 48.639206023784595, 'reg_lambda': 0.08990155501249311, 'gamma': 0.025031156493283}. Best is trial 16 with value: -0.4137711199084063.
[I 2026-07-14 21:29:02,951] Trial 34 finished with value: -0.45632749883307855 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.06928922037631106, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 1.3526882392315222e-05, 'reg_lambda': 0.00020261019730729018, 'gamma': 0.010868872842701294}. Best is trial 34 with value: -0.45632749883307855.
[I 2026-07-14 21:29:11,264] Trial 35 finished with value: -0.37312144037125405 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1850, 'learning_rate': 0.08566118796116161, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 2.2576879919174747e-05, 'reg_lambda': 0.09630032906120399, 'gamma': 0.021377244083799443}. Best is trial 34 with value: -0.45632749883307855.
[I 2026-07-14 21:29:14,081] Trial 36 finished with value: -0.24357452115376133 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2600, 'learning_rate': 0.05596931645990463, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 66.60958666199396, 'reg_lambda': 0.11614825721062301, 'gamma': 0.05242579719175408}. Best is trial 34 with value: -0.45632749883307855.
[I 2026-07-14 21:29:29,803] Trial 37 finished with value: -0.6182082832246478 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.49851547081588593, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.3629713725634117e-05, 'reg_lambda': 0.0002575115182193979, 'gamma': 0.07024509547018636}. Best is trial 37 with value: -0.6182082832246478.
[I 2026-07-14 21:29:32,795] Trial 38 finished with value: -0.2701330325936894 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.13634207499566284, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 4.034057249683954e-06, 'reg_lambda': 2.404206137544281, 'gamma': 0.18189000776318054}. Best is trial 37 with value: -0.6182082832246478.
[I 2026-07-14 21:29:43,578] Trial 39 finished with value: -0.41335148803416594 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2550, 'learning_rate': 0.058081614740707777, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 8.691441751188374e-06, 'reg_lambda': 0.00045786007698288663, 'gamma': 0.06741100777488854}. Best is trial 37 with value: -0.6182082832246478.
[I 2026-07-14 21:29:52,492] Trial 40 finished with value: -0.311606935013213 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.04552974048419677, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 2.336183380342085e-05, 'reg_lambda': 0.0005031774740630972, 'gamma': 0.0764942610860649}. Best is trial 37 with value: -0.6182082832246478.
[I 2026-07-14 21:29:58,220] Trial 41 finished with value: -0.2848448862323345 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.043788237723940165, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 6.265877135176608e-06, 'reg_lambda': 2.9143417143915853, 'gamma': 0.11824412101533449}. Best is trial 37 with value: -0.6182082832246478.
