[I 2026-07-14 18:31:07,096] A new study created in RDB with name: my-study
[I 2026-07-14 18:38:00,862] Trial 32 finished with value: -0.12812621346395225 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.06335811645999964, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.3325251446072763e-05, 'reg_lambda': 25.89341297394316, 'gamma': 1.664083238587118e-05}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:38:17,583] Trial 33 finished with value: -0.1605909728613996 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.10705941848270308, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.2928573967179112e-05, 'reg_lambda': 88.87618377488575, 'gamma': 0.0002169369218805831}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:38:34,674] Trial 34 finished with value: -0.15556037730599875 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.09946900608458004, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.080768988663463e-05, 'reg_lambda': 47.81871067933811, 'gamma': 1.7611058445896944e-05}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:38:54,049] Trial 35 finished with value: -0.1808107222496555 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.14502855616163646, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00010721121278713297, 'reg_lambda': 11.038906996404508, 'gamma': 0.00024102498958739415}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:39:17,711] Trial 36 finished with value: -0.18185129668354905 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.13571187865813525, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00016794291332249215, 'reg_lambda': 11.566723748838628, 'gamma': 2.5041475198558264e-05}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:39:36,799] Trial 37 finished with value: -0.10304798247531415 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.028556500965927073, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 8.459024257982071e-05, 'reg_lambda': 10.901812638310838, 'gamma': 0.00019596383949853607}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:40:09,354] Trial 38 finished with value: -0.19542803656536237 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.16971535208569863, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 8.574920149590822e-05, 'reg_lambda': 10.71322506133279, 'gamma': 0.00012932276135908523}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:40:40,228] Trial 39 finished with value: -0.140812684265757 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.17626285396310207, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00020940098335662163, 'reg_lambda': 11.710511050794171, 'gamma': 0.00020070849571212498}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:41:11,165] Trial 40 finished with value: -0.13815494721137753 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.17096938970041065, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00019166732449906506, 'reg_lambda': 6.300445069552341, 'gamma': 0.00018942076637345183}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:41:41,559] Trial 41 finished with value: -0.11461148142000929 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.025882115654935332, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00014080322960445765, 'reg_lambda': 5.080318911534545, 'gamma': 0.00010711480327017057}. Best is trial 26 with value: -0.27811133071608823.
