[I 2026-07-14 16:42:25,616] A new study created in RDB with name: my-study
[I 2026-07-14 16:49:58,274] Trial 38 finished with value: -0.24314844940656896 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.28800084122121655, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0008868783050811273, 'reg_lambda': 5.235100058773609, 'gamma': 0.043837851308638265}. Best is trial 38 with value: -0.24314844940656896.
[I 2026-07-14 16:50:02,504] Trial 39 finished with value: -0.2390924296500859 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.2870859761135268, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0011725094571332904, 'reg_lambda': 6.837814580922582, 'gamma': 0.035137826842618784}. Best is trial 38 with value: -0.24314844940656896.
[I 2026-07-14 16:50:10,009] Trial 40 finished with value: -0.2111174357572887 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 350, 'learning_rate': 0.0004370223548434708, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 3.380962392107237e-05, 'reg_lambda': 8.166504701448053, 'gamma': 0.027524271408144216}. Best is trial 38 with value: -0.24314844940656896.
[I 2026-07-14 16:50:10,965] Trial 41 finished with value: -0.2155767982457828 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.2980602358512888, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.1067784491599484e-06, 'reg_lambda': 6.028026737285254, 'gamma': 0.04077099157432572}. Best is trial 38 with value: -0.24314844940656896.
[I 2026-07-14 16:50:16,796] Trial 42 finished with value: -0.26007786149878986 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.49780790626384713, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.001307538415603351, 'reg_lambda': 7.67999600426946, 'gamma': 0.03534022957843165}. Best is trial 42 with value: -0.26007786149878986.
[I 2026-07-14 16:50:27,749] Trial 43 finished with value: -0.2703652722719945 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1200, 'learning_rate': 0.46698080796572444, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.446074794574089e-06, 'reg_lambda': 5.3105818386970105, 'gamma': 0.032410876246035294}. Best is trial 43 with value: -0.2703652722719945.
[I 2026-07-14 16:50:33,092] Trial 44 finished with value: -0.26256793162221875 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 800, 'learning_rate': 0.4437096922497512, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.001778384341736205, 'reg_lambda': 4.158383851956004, 'gamma': 0.026060188810986526}. Best is trial 43 with value: -0.2703652722719945.
[I 2026-07-14 16:50:41,775] Trial 45 finished with value: -0.2723285321567422 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1200, 'learning_rate': 0.4191187133445413, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 3.0290584630071774e-05, 'reg_lambda': 7.18006997677028, 'gamma': 0.05942699178198411}. Best is trial 45 with value: -0.2723285321567422.
[I 2026-07-14 16:50:51,864] Trial 46 finished with value: -0.27737704794096024 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.4745915477048297, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.2577119980211402e-06, 'reg_lambda': 6.408748426974611, 'gamma': 0.06002865727168915}. Best is trial 46 with value: -0.27737704794096024.
[I 2026-07-14 16:51:01,961] Trial 47 finished with value: -0.32292470051545075 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.4848105826167447, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.018653051809661366, 'reg_lambda': 9.814005012319203, 'gamma': 0.13653774294034987}. Best is trial 47 with value: -0.32292470051545075.
