[I 2026-07-14 20:00:18,939] A new study created in RDB with name: my-study
[I 2026-07-14 20:05:19,305] Trial 41 finished with value: -0.14352297426733512 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.4836056628110469, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0006172143434545835, 'reg_lambda': 11.144225293417215, 'gamma': 0.00021945510175380966}. Best is trial 38 with value: -0.2106275776719057.
[I 2026-07-14 20:05:24,875] Trial 42 finished with value: -0.12672062207089765 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 800, 'learning_rate': 0.4512358753807534, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0006047333756548951, 'reg_lambda': 13.483548853587504, 'gamma': 0.00015503050477206585}. Best is trial 38 with value: -0.2106275776719057.
[I 2026-07-14 20:05:31,373] Trial 43 finished with value: -0.16718863084912167 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.45312689155207836, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0006502010123806479, 'reg_lambda': 12.48003721845624, 'gamma': 0.00023854812062301968}. Best is trial 38 with value: -0.2106275776719057.
[I 2026-07-14 20:05:38,075] Trial 44 finished with value: -0.16995565608268517 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 850, 'learning_rate': 0.4928719618099802, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0005874979167596508, 'reg_lambda': 11.81295032639985, 'gamma': 0.00019237219529970456}. Best is trial 38 with value: -0.2106275776719057.
[I 2026-07-14 20:05:44,846] Trial 45 finished with value: -0.147003278210938 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 900, 'learning_rate': 0.3313436612142064, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0008700317911028078, 'reg_lambda': 12.613365708080124, 'gamma': 0.00029213034156758366}. Best is trial 38 with value: -0.2106275776719057.
[I 2026-07-14 20:05:50,448] Trial 46 finished with value: -0.15442987674208355 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.48382917274848763, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0012961668385930937, 'reg_lambda': 0.030568691400128255, 'gamma': 0.0002489227027519435}. Best is trial 38 with value: -0.2106275776719057.
[I 2026-07-14 20:05:57,185] Trial 47 finished with value: -0.13680528819604543 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 900, 'learning_rate': 0.28860750071955976, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0013203089784561664, 'reg_lambda': 6.542221212270753, 'gamma': 0.0003302614950369733}. Best is trial 38 with value: -0.2106275776719057.
[I 2026-07-14 20:06:11,090] Trial 48 finished with value: -0.16007199653984938 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.28696038289880094, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0021814405090520737, 'reg_lambda': 92.47106573852639, 'gamma': 0.0002332482216435502}. Best is trial 38 with value: -0.2106275776719057.
[I 2026-07-14 20:06:25,351] Trial 49 finished with value: -0.16465212928031692 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.26019472656500703, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.002507794800682815, 'reg_lambda': 48.618641169693916, 'gamma': 3.6146952871147596e-05}. Best is trial 38 with value: -0.2106275776719057.
[I 2026-07-14 20:06:39,622] Trial 50 finished with value: -0.1627954192369889 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2200, 'learning_rate': 0.2687630577900379, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0030370184801745415, 'reg_lambda': 73.85657431929435, 'gamma': 3.643340747156566e-05}. Best is trial 38 with value: -0.2106275776719057.
