[I 2026-07-14 16:32:32,219] A new study created in RDB with name: my-study
[I 2026-07-14 16:37:02,941] Trial 32 finished with value: -0.3747912786602612 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.00028287628403362506, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 13.272895558642828, 'reg_lambda': 2.527419729957349e-05, 'gamma': 62.08012825211787}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:04,227] Trial 33 finished with value: -0.37458358184963386 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 650, 'learning_rate': 0.0003157814965444278, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 1.6979714793365805e-06, 'reg_lambda': 5.874261886366465e-05, 'gamma': 68.63122258100397}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:05,273] Trial 34 finished with value: -0.3812332474259368 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 600, 'learning_rate': 0.00032298002534908253, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 1.230253350401287e-06, 'reg_lambda': 3.9766437153177466e-05, 'gamma': 99.74526701456128}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:07,060] Trial 35 finished with value: -0.36853971448429135 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 650, 'learning_rate': 0.00024596820814091797, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 11.377826753713835, 'reg_lambda': 7.269587177356964e-05, 'gamma': 12.689570069587635}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:08,817] Trial 36 finished with value: -0.32838349679554735 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.0007622365040108594, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 13.330100557913854, 'reg_lambda': 5.147814528857747e-05, 'gamma': 11.578825412282638}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:10,329] Trial 37 finished with value: -0.31346575769318274 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 650, 'learning_rate': 0.0011636766884606316, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 13.91259503018455, 'reg_lambda': 0.00015347903926900717, 'gamma': 7.8077109077715425}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:14,020] Trial 38 finished with value: -0.2649299033308501 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.0009861094679339234, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 9.163514495807132, 'reg_lambda': 6.359916472670409e-05, 'gamma': 11.128872072347074}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:15,402] Trial 39 finished with value: -0.22647626206485777 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.006056395198728417, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 17.040432952141114, 'reg_lambda': 0.00011586084962775016, 'gamma': 11.801008039055978}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:15,995] Trial 41 finished with value: -0.2955800526147097 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.008255475696702319, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 14.647327520194526, 'reg_lambda': 0.0001420397089978239, 'gamma': 13.191967476326731}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:16,038] Trial 40 finished with value: -0.2478317041527175 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 400, 'learning_rate': 0.0060468782356346154, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 13.062743954978835, 'reg_lambda': 0.00018613908428124598, 'gamma': 11.650498361458215}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:16,748] Trial 42 finished with value: -0.2819655186124093 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.004545653301912825, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 16.72206333139169, 'reg_lambda': 0.00017338637739686434, 'gamma': 11.797413087837143}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:17,282] Trial 43 finished with value: -0.28201903291751035 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 250, 'learning_rate': 0.004832759683744997, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 1.1397620213659247, 'reg_lambda': 0.00021910528634436297, 'gamma': 10.532873414344584}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:17,877] Trial 44 finished with value: -0.27232514727242935 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.005721662690147111, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.9760749887661517, 'reg_lambda': 0.00274616186585916, 'gamma': 0.578160965488255}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:18,274] Trial 45 finished with value: -0.3088750210552287 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.00508187320225376, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 1.2991220194407387, 'reg_lambda': 0.002886367209207704, 'gamma': 0.4979517585443792}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:19,414] Trial 46 finished with value: -0.21665616120041215 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.004965866473853892, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 1.2988639850532948, 'reg_lambda': 0.003647008897182451, 'gamma': 0.5579531911240283}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:20,255] Trial 47 finished with value: -0.1811230361666554 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 200, 'learning_rate': 0.011411178574995911, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 1.9272155122582995, 'reg_lambda': 0.003077045083151482, 'gamma': 0.4229364881887221}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:25,715] Trial 48 finished with value: -0.14671558187175765 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1200, 'learning_rate': 0.003632579600318773, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 1.3843760353701042, 'reg_lambda': 8.201657159000053e-06, 'gamma': 0.6631863907822562}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:32,648] Trial 49 finished with value: -0.14290113990042272 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1800, 'learning_rate': 0.0035897542925919365, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 1.9896187107075953, 'reg_lambda': 1.1018812957946418e-05, 'gamma': 1.0178380185952667}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:42,004] Trial 50 finished with value: -0.2356407866219741 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1800, 'learning_rate': 0.0006160737943324988, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 2.0034885862974114, 'reg_lambda': 9.181321697374152e-06, 'gamma': 0.8050578016998079}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:51,642] Trial 51 finished with value: -0.2572931170543011 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1800, 'learning_rate': 0.0004736134155872083, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 3.0550068556511185, 'reg_lambda': 8.41951080490985e-06, 'gamma': 0.5353075722750857}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:37:58,090] Trial 52 finished with value: -0.15779167511910291 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1800, 'learning_rate': 0.0031781087412215627, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 3.251511578710418, 'reg_lambda': 8.458342391721606e-06, 'gamma': 1.9150938864320712}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:38:04,886] Trial 53 finished with value: -0.26480726089850576 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1850, 'learning_rate': 0.000490372508987027, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 3.130352694132243, 'reg_lambda': 5.463299323659937e-06, 'gamma': 2.4419764108493145}. Best is trial 29 with value: -0.391109281598897.
[I 2026-07-14 16:38:11,243] Trial 54 finished with value: -0.16250947528748938 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.002956089307771139, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 3.4957021145142977, 'reg_lambda': 5.852382157628552e-06, 'gamma': 2.465186876897214}. Best is trial 29 with value: -0.391109281598897.
