[I 2026-07-14 16:32:32,199] A new study created in RDB with name: my-study
[I 2026-07-14 16:35:13,515] Trial 33 finished with value: -0.24391088847696232 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 500, 'learning_rate': 0.0017528385737003562, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.09388126879394523, 'reg_lambda': 0.0177504764288775, 'gamma': 6.334016076975208e-05}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:35:16,530] Trial 34 finished with value: -0.2703308424829355 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 600, 'learning_rate': 0.0010904189344695015, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.11248968769756386, 'reg_lambda': 0.013936051720494188, 'gamma': 6.672645494732772e-05}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:35:27,696] Trial 35 finished with value: -0.228045936934571 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 650, 'learning_rate': 0.0015662989411489505, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.057145983266760465, 'reg_lambda': 5.3723230311022295e-05, 'gamma': 5.067971104963379e-05}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:35:32,772] Trial 36 finished with value: -0.30927342416514164 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.0005397904826201514, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 6.191963198794583, 'reg_lambda': 6.389543312223748e-05, 'gamma': 6.215720589349123e-05}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:35:40,396] Trial 37 finished with value: -0.21934175859002297 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.001485992068268045, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.017259904773451334, 'reg_lambda': 0.012645420557958838, 'gamma': 3.396182869568553e-05}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:35:51,611] Trial 38 finished with value: -0.1478674741987002 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.34457544763334624, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 5.25519957622243, 'reg_lambda': 0.010300210751264716, 'gamma': 6.870231134268757e-05}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:36:01,071] Trial 39 finished with value: -0.31397151641420434 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.00042548656934621453, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 5.461897211975276, 'reg_lambda': 0.01810512233307462, 'gamma': 1.908589708534326e-05}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:36:11,516] Trial 40 finished with value: -0.30285735602347097 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.0004276076087966085, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 4.6894224885128875, 'reg_lambda': 0.04827083871610725, 'gamma': 0.01158414776244478}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:36:20,963] Trial 41 finished with value: -0.30937323755032536 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 850, 'learning_rate': 0.0004326827384461387, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 4.311186846057235, 'reg_lambda': 0.1214307056236902, 'gamma': 0.017899749176415243}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:36:33,992] Trial 42 finished with value: -0.300070935092348 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.0004302316592728917, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 4.126493066308773, 'reg_lambda': 0.15246120210803502, 'gamma': 0.027985371273259233}. Best is trial 24 with value: -0.38803344028462017.
