[I 2026-07-14 19:34:49,623] A new study created in RDB with name: my-study
[I 2026-07-14 19:40:28,383] Trial 42 finished with value: -0.04834234679229926 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.22284269586253513, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 6.928580394054559e-06, 'reg_lambda': 0.03958673765464142, 'gamma': 0.0009114866115871086}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:40:37,572] Trial 43 finished with value: -0.05062174120458291 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1550, 'learning_rate': 0.23367358777023728, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 1.1925253529479425e-05, 'reg_lambda': 0.02312700773438018, 'gamma': 0.0001207891346763885}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:40:38,793] Trial 44 finished with value: -0.028043469204523077 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2600, 'learning_rate': 0.23372463151223316, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 7.242111854383546e-06, 'reg_lambda': 0.015859268645827332, 'gamma': 0.215610904820052}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:40:51,279] Trial 45 finished with value: -0.054953229601391096 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.25981098918595463, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 8.462197149970644e-06, 'reg_lambda': 0.02528891536312925, 'gamma': 0.00013976436019615636}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:40:54,290] Trial 46 finished with value: -0.02812782442622469 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.27617258225688945, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 4.130607308371421e-06, 'reg_lambda': 0.07380613972852833, 'gamma': 0.2258841337666598}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:40:56,516] Trial 47 finished with value: -0.028160796978785145 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2050, 'learning_rate': 0.4745765748973348, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 2.186122564884669e-05, 'reg_lambda': 0.01043711543038103, 'gamma': 0.21126556437561003}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:41:11,472] Trial 48 finished with value: -0.055112079578715806 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2050, 'learning_rate': 0.21856100214904373, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 3.6026723132099135e-06, 'reg_lambda': 0.08019461253009821, 'gamma': 0.020198788340160805}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:41:23,577] Trial 49 finished with value: -0.07177685931002817 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.4848585061003549, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 4.1384908521668965e-06, 'reg_lambda': 0.04635843629768739, 'gamma': 0.022590603665496565}. Best is trial 49 with value: -0.07177685931002817.
[I 2026-07-14 19:41:39,381] Trial 50 finished with value: -0.06018752590135868 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2900, 'learning_rate': 0.25237215028741505, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.847989577002908e-05, 'reg_lambda': 0.07542927524100176, 'gamma': 0.015064218256910884}. Best is trial 49 with value: -0.07177685931002817.
[I 2026-07-14 19:41:41,364] Trial 51 finished with value: -0.031934655277529235 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2000, 'learning_rate': 0.4751816902881524, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 2.3900565914790444e-05, 'reg_lambda': 0.12991030257736041, 'gamma': 0.1793098368047123}. Best is trial 49 with value: -0.07177685931002817.
