[I 2026-07-14 16:32:32,272] A new study created in RDB with name: my-study
[I 2026-07-14 16:48:21,011] Trial 39 finished with value: -0.19324679289263652 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.14541924371092285, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 18.89985194983354, 'reg_lambda': 7.446354813232979e-05, 'gamma': 0.00011133873217476592}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:49:00,351] Trial 40 finished with value: -0.3001796567969025 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.24615686488607244, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.023110416901990907, 'reg_lambda': 3.649148185854961e-06, 'gamma': 0.0001104556661926588}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:49:49,498] Trial 41 finished with value: -0.2908865120135029 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.2478247782770745, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.018825474680102892, 'reg_lambda': 6.718781373955566e-06, 'gamma': 0.0002363275277016912}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:50:40,887] Trial 42 finished with value: -0.2932788205717543 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.25865984018134186, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.6139848163051648, 'reg_lambda': 4.8957382999435105e-06, 'gamma': 5.533159132067388e-05}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:51:37,214] Trial 43 finished with value: -0.30566974981833234 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.2625572514436058, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 1.026400083414701, 'reg_lambda': 2.7514949407424435e-06, 'gamma': 9.761597819275007e-05}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:52:36,012] Trial 44 finished with value: -0.31612909138279227 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.2508636201153449, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.643029527940362, 'reg_lambda': 4.199359687093486e-06, 'gamma': 0.00010612100196179369}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:53:31,000] Trial 45 finished with value: -0.3098983724018508 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.2725226539467229, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.6895088448351719, 'reg_lambda': 4.8989425562780254e-06, 'gamma': 0.00020307145649644124}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:54:23,212] Trial 46 finished with value: -0.3064763797255501 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.302484097808263, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.8537519661447973, 'reg_lambda': 4.267642904518914e-06, 'gamma': 0.0001325466445511186}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:54:44,872] Trial 47 finished with value: -0.267378575673408 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.26960044072664074, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.5075401242609504, 'reg_lambda': 4.148299198623052e-06, 'gamma': 3.447842237402052e-05}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:55:08,255] Trial 48 finished with value: -0.27449581710215076 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2900, 'learning_rate': 0.296333979827296, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.912516621704438, 'reg_lambda': 5.814304787362872e-06, 'gamma': 0.0003742369923940017}. Best is trial 21 with value: -0.49801046385794334.
