[I 2026-07-14 16:31:28,526] A new study created in RDB with name: my-study
[I 2026-07-14 16:35:01,062] Trial 32 finished with value: -0.23005723564979177 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.38420892069268064, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0001349431915820228, 'reg_lambda': 18.513058255019747, 'gamma': 0.00011783007915696344}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:35:13,018] Trial 33 finished with value: -0.2520194416344057 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.3925412977724629, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 7.013492550346249e-05, 'reg_lambda': 13.440434468118536, 'gamma': 7.52930753384484e-05}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:35:24,574] Trial 34 finished with value: -0.22046885665121363 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.23977472980232425, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 3.786950874365678e-05, 'reg_lambda': 0.023267775635102877, 'gamma': 0.00011282363867491252}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:35:38,379] Trial 35 finished with value: -0.2274931513378735 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2900, 'learning_rate': 0.21400505532330508, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 8.700341219763321e-05, 'reg_lambda': 0.042994459796425355, 'gamma': 7.821741393025239e-05}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:35:52,315] Trial 36 finished with value: -0.2266802821302607 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.2135085173204579, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 6.484115432843767e-05, 'reg_lambda': 0.029664389936217804, 'gamma': 0.021307011955383405}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:36:08,004] Trial 37 finished with value: -0.23258122609384965 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.2302334008948592, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 1.5440319727572263e-05, 'reg_lambda': 8.373352842454441, 'gamma': 0.01181891794294414}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:36:23,360] Trial 38 finished with value: -0.2309613668893384 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2850, 'learning_rate': 0.21808702374342018, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00020878995676694602, 'reg_lambda': 20.732310611311924, 'gamma': 0.010466663220552426}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:36:39,692] Trial 39 finished with value: -0.23333588694989832 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.22454071932541694, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00016562794062376587, 'reg_lambda': 16.782154437052256, 'gamma': 0.010257623427303235}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:36:55,645] Trial 40 finished with value: -0.2343024482498537 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.22449370813509903, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 1.0428247202949687e-05, 'reg_lambda': 11.46463944520139, 'gamma': 0.006503174681847445}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:37:11,150] Trial 41 finished with value: -0.22139489852113847 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.2010766612014153, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 1.784414313524804e-05, 'reg_lambda': 14.337723185833921, 'gamma': 0.00972998479861458}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:37:27,027] Trial 42 finished with value: -0.22059570618574462 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.2062124842782788, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 5.140614875284205e-06, 'reg_lambda': 16.1292977434096, 'gamma': 0.007330835245576101}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:37:39,124] Trial 43 finished with value: -0.2027786215781884 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.12615492517124552, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 1.3183948951921756e-05, 'reg_lambda': 13.126235017448968, 'gamma': 0.010864801591934026}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:37:54,170] Trial 44 finished with value: -0.20573241047924018 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.12663744849962272, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.0370381903219358e-05, 'reg_lambda': 0.0005601889693116209, 'gamma': 1.627499555425075e-05}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:38:09,173] Trial 45 finished with value: -0.20512693965354697 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.12895171176055711, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.0679020720103828e-06, 'reg_lambda': 0.0005401161443006662, 'gamma': 1.2573714130077084e-05}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:38:24,721] Trial 46 finished with value: -0.20247514223854354 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.09855294260004964, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 9.40903624918187e-06, 'reg_lambda': 1.7966125915121567, 'gamma': 1.8720222536736645e-05}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:38:40,433] Trial 47 finished with value: -0.20583523529322503 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.11635273244256297, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.1781246697120138e-06, 'reg_lambda': 2.4011682768453033, 'gamma': 1.854091372320968e-05}. Best is trial 25 with value: -0.2606321048813387.
