[I 2026-07-14 20:53:22,327] A new study created in RDB with name: my-study
[I 2026-07-14 20:55:48,229] Trial 32 finished with value: -0.05146726087262878 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.08481648134209693, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 2.241349534586544e-05, 'reg_lambda': 0.014043973566203379, 'gamma': 0.4259768060283146}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:55:49,227] Trial 33 finished with value: -0.051553690571037716 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 750, 'learning_rate': 0.080292390298272, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 3.3222115013753216e-05, 'reg_lambda': 0.00933044358116482, 'gamma': 0.5399083277065908}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:55:58,842] Trial 34 finished with value: -0.09120955000017067 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 900, 'learning_rate': 0.08387791133351183, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 1.645742291153635e-05, 'reg_lambda': 0.012765466767980732, 'gamma': 0.0019393006268658565}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:56:09,946] Trial 35 finished with value: -0.10051134574547332 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.09896684815966358, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 3.572983038289782e-05, 'reg_lambda': 0.060296008991201785, 'gamma': 0.0032244070102566465}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:56:18,950] Trial 36 finished with value: -0.08234929647507022 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1150, 'learning_rate': 0.09866479976433917, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 3.6718216516605524e-05, 'reg_lambda': 0.009342854292996142, 'gamma': 0.0029283783607336753}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:56:26,460] Trial 37 finished with value: -0.07489942335561735 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1050, 'learning_rate': 0.07088720035299821, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 4.8035205696661815e-05, 'reg_lambda': 0.009576664772396234, 'gamma': 0.0026969528631836013}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:56:36,837] Trial 38 finished with value: -0.08725992559105186 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.08312185593471967, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 7.05490683311129e-05, 'reg_lambda': 6.531671599835831e-05, 'gamma': 0.002864618564357278}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:56:42,414] Trial 39 finished with value: -0.07439785338494814 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.07987358917271146, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 5.948492332356393e-05, 'reg_lambda': 6.321029180718647e-05, 'gamma': 0.0018599401888679413}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:56:53,122] Trial 40 finished with value: -0.08391829719824351 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.08567812167831539, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00010631031302506368, 'reg_lambda': 5.775786099982701e-05, 'gamma': 0.0035361914447188413}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:57:01,934] Trial 41 finished with value: -0.1023769911366701 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.1816455766367891, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 5.1969774522536935e-06, 'reg_lambda': 4.896710701309241e-05, 'gamma': 0.001616669226612054}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:57:10,522] Trial 42 finished with value: -0.10827136824354862 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1100, 'learning_rate': 0.1746067774940593, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 4.758572843059966e-06, 'reg_lambda': 9.14687802018212e-05, 'gamma': 9.715491811086454e-05}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:57:14,929] Trial 43 finished with value: -0.09172349842029702 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.1963057535484237, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 4.953435407713247e-06, 'reg_lambda': 9.956094015275902e-05, 'gamma': 0.00019478056648433367}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:57:19,313] Trial 44 finished with value: -0.08957004169998939 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.20739791038547953, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 5.06499131734728e-06, 'reg_lambda': 4.009011519364897e-05, 'gamma': 6.0696056225530494e-05}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:57:23,299] Trial 45 finished with value: -0.09545799665909635 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.20153594548031376, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 5.673271232590132e-06, 'reg_lambda': 6.601956622100168e-05, 'gamma': 0.0005324247912214047}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:57:27,351] Trial 46 finished with value: -0.11116588723888698 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.18492829121692578, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 4.508992086446269e-06, 'reg_lambda': 1.3892637789453136e-05, 'gamma': 0.0001909052824232134}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:57:29,746] Trial 47 finished with value: -0.10664719588340826 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.1773194275565879, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 4.450195795772756e-06, 'reg_lambda': 1.132668617375909e-05, 'gamma': 0.00023486456853135743}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:57:33,175] Trial 48 finished with value: -0.11776148741730963 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 400, 'learning_rate': 0.20503809727950584, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 3.885645321529096e-06, 'reg_lambda': 8.688766622748702e-06, 'gamma': 0.00019160342490528906}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:57:35,324] Trial 49 finished with value: -0.10418280632568121 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.3008810486047822, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 3.4055774180528994e-06, 'reg_lambda': 0.0027313636302762558, 'gamma': 0.00022132684890533252}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:57:38,030] Trial 50 finished with value: -0.10618753146836585 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.25841181486970366, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 3.4599606383150815e-06, 'reg_lambda': 1.2842914248546752e-05, 'gamma': 0.0004178184675207848}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:57:40,218] Trial 51 finished with value: -0.10060880128539794 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.2808049020994127, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 3.1236865642353424e-06, 'reg_lambda': 1.2087414634437465e-05, 'gamma': 0.0007356821735571173}. Best is trial 23 with value: -0.14902554234632484.
[I 2026-07-14 20:57:42,398] Trial 52 finished with value: -0.10364850590255852 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 350, 'learning_rate': 0.2908807913838566, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00023620251926857578, 'reg_lambda': 0.0017915523245196174, 'gamma': 0.0004861789561683178}. Best is trial 23 with value: -0.14902554234632484.
