[I 2026-07-14 16:41:21,073] A new study created in RDB with name: my-study
[I 2026-07-14 16:46:53,807] Trial 32 finished with value: -0.09770702540875159 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.000642338454213295, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 3.451632199831888, 'reg_lambda': 0.5060134241453071, 'gamma': 0.004116744326268428}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:47:12,209] Trial 33 finished with value: -0.10278793731458012 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.00052116737364334, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 3.08058659671513, 'reg_lambda': 0.5276281813377839, 'gamma': 1.1280026109281473e-06}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:47:31,840] Trial 34 finished with value: -0.10681155124284894 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.0004975137238156313, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 2.1806821716088147, 'reg_lambda': 0.6333570738561577, 'gamma': 1.2055394940246851e-06}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:47:45,839] Trial 35 finished with value: -0.11337713481074439 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.00038937497248967186, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 3.912586626414278, 'reg_lambda': 0.4732667531340776, 'gamma': 0.004089113619749201}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:47:56,924] Trial 36 finished with value: -0.1078617334598264 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.0005208410403338029, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 5.502213395239525, 'reg_lambda': 65.17019269564186, 'gamma': 0.003167050807340624}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:48:17,932] Trial 37 finished with value: -0.11038484022115502 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1050, 'learning_rate': 0.00038157105312731053, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 2.272855676273264, 'reg_lambda': 0.5991358984283807, 'gamma': 5.0361119370005994e-05}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:48:26,944] Trial 38 finished with value: -0.12533427084448245 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 400, 'learning_rate': 0.00038548913327576654, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.018134858675378, 'reg_lambda': 0.8066538663596825, 'gamma': 4.4947313388262506e-05}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:48:36,280] Trial 39 finished with value: -0.12792087926765136 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.00026079864311528603, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 1.145256223282247, 'reg_lambda': 72.92306685409369, 'gamma': 9.607693220494235e-05}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:48:40,522] Trial 40 finished with value: -0.12674894922113905 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 500, 'learning_rate': 0.00026034036741658323, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.4487039183972433, 'reg_lambda': 0.008828017539545754, 'gamma': 6.0641039186502904e-05}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:48:47,999] Trial 41 finished with value: -0.13030029068324925 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 500, 'learning_rate': 0.0001737352027103993, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.5597003948086721, 'reg_lambda': 70.53965739132958, 'gamma': 7.602548891525671e-05}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:48:48,235] Trial 42 finished with value: -0.12763692448003355 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.00022217482683207414, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 14.610418701892133, 'reg_lambda': 0.00536581263715828, 'gamma': 6.761254627183956e-05}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:48:51,801] Trial 43 finished with value: -0.1310597985234227 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 500, 'learning_rate': 0.00022236002688088134, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 15.951467780257433, 'reg_lambda': 0.013349685332026313, 'gamma': 7.521607857090998e-05}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:48:52,402] Trial 44 finished with value: -0.1311888539389515 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 500, 'learning_rate': 0.00021929456116496384, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 18.02471973867923, 'reg_lambda': 0.008969202518114092, 'gamma': 0.00010479394649511885}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:48:54,685] Trial 45 finished with value: -0.13161289456433095 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 500, 'learning_rate': 0.0002023056163589021, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 15.739018309503898, 'reg_lambda': 0.00611126742038498, 'gamma': 9.992918117384856e-05}. Best is trial 18 with value: -0.1368364485413016.
