[I 2026-07-14 20:18:22,564] A new study created in RDB with name: my-study
[I 2026-07-14 20:23:26,166] Trial 33 finished with value: -0.030111226452657867 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.04871306679530284, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 9.033877085630862e-06, 'reg_lambda': 0.0349372827183195, 'gamma': 1.783631577636231e-06}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:23:40,154] Trial 34 finished with value: -0.031639808136228055 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2450, 'learning_rate': 0.03262439293627055, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 6.727309777120701e-06, 'reg_lambda': 6.762218785050529, 'gamma': 1.3004601813048192e-06}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:23:58,215] Trial 35 finished with value: -0.05362697466063035 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2450, 'learning_rate': 0.22111887842652467, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.003645664063350139, 'reg_lambda': 6.824678092425763, 'gamma': 1.150758877946158e-06}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:24:25,628] Trial 36 finished with value: -0.05940118515750246 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2450, 'learning_rate': 0.22309512587320204, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0019239606052093962, 'reg_lambda': 4.672342544938779, 'gamma': 1.0612477350429847e-06}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:24:51,294] Trial 37 finished with value: -0.05989046544321931 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2450, 'learning_rate': 0.22873940061085002, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.001855104687230279, 'reg_lambda': 6.916401246610586, 'gamma': 1.5843524677284209e-06}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:25:28,046] Trial 38 finished with value: -0.06930208649629596 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.22946344953168507, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 1.8322532568610268e-06, 'reg_lambda': 5.700153502028606, 'gamma': 0.0037522467167976645}. Best is trial 19 with value: -0.07056030445224931.
[I 2026-07-14 20:26:04,131] Trial 39 finished with value: -0.07120991106060304 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.246639264176843, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00032782921494531005, 'reg_lambda': 5.764202049365859, 'gamma': 0.003391962779137613}. Best is trial 39 with value: -0.07120991106060304.
[I 2026-07-14 20:26:32,848] Trial 40 finished with value: -0.05636243337798559 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.2652102852424321, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 1.3558075291847426e-06, 'reg_lambda': 0.007056838564871799, 'gamma': 0.006888222953959892}. Best is trial 39 with value: -0.07120991106060304.
[I 2026-07-14 20:27:10,574] Trial 41 finished with value: -0.06904085819605688 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.22409879398715163, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.004650229399703598, 'reg_lambda': 6.547765650698935, 'gamma': 0.004123607773255807}. Best is trial 39 with value: -0.07120991106060304.
[I 2026-07-14 20:27:39,871] Trial 42 finished with value: -0.05500348364474271 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.2292303693418362, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 1.025309350174993e-06, 'reg_lambda': 0.0046650141370827986, 'gamma': 0.0034381958846277567}. Best is trial 39 with value: -0.07120991106060304.
