[I 2026-07-14 16:32:32,193] A new study created in RDB with name: my-study
[I 2026-07-14 16:37:58,613] Trial 39 finished with value: -0.3315975787582581 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.00010210138109198255, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.10327597114409082, 'reg_lambda': 9.130750890622032e-06, 'gamma': 95.59854959318804}. Best is trial 39 with value: -0.3315975787582581.
[I 2026-07-14 16:38:00,612] Trial 40 finished with value: -0.3251544040130946 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.0001003104800480916, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.09070362171273305, 'reg_lambda': 9.949330434929116e-06, 'gamma': 4.250438618996279}. Best is trial 39 with value: -0.3315975787582581.
[I 2026-07-14 16:38:02,762] Trial 41 finished with value: -0.3246775506067844 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.00010793761230965194, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.11045951606989503, 'reg_lambda': 0.004821964162302376, 'gamma': 6.324196413363964}. Best is trial 39 with value: -0.3315975787582581.
[I 2026-07-14 16:38:05,966] Trial 42 finished with value: -0.31695102975916956 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.00017686510093460001, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.1155409951689865, 'reg_lambda': 5.344337130624212e-06, 'gamma': 2.3976626509490013}. Best is trial 39 with value: -0.3315975787582581.
[I 2026-07-14 16:38:07,388] Trial 43 finished with value: -0.32895458261985766 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.0001625198470276718, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.027215978621812565, 'reg_lambda': 0.003901082188380815, 'gamma': 35.49644569990215}. Best is trial 39 with value: -0.3315975787582581.
[I 2026-07-14 16:38:08,950] Trial 44 finished with value: -0.3194060408046208 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 650, 'learning_rate': 0.00019218812908716341, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0600294411562372, 'reg_lambda': 0.006037937912441756, 'gamma': 7.204604481196273}. Best is trial 39 with value: -0.3315975787582581.
[I 2026-07-14 16:38:10,370] Trial 45 finished with value: -0.3232893411802672 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.00020206767729392827, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 3.4757228500457322, 'reg_lambda': 0.01331993594413718, 'gamma': 18.535989748626996}. Best is trial 39 with value: -0.3315975787582581.
[I 2026-07-14 16:38:11,711] Trial 46 finished with value: -0.3270126841958763 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 750, 'learning_rate': 0.00017703755614483348, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.005213421616164132, 'reg_lambda': 0.005275590354732498, 'gamma': 17.70777930254439}. Best is trial 39 with value: -0.3315975787582581.
[I 2026-07-14 16:38:13,485] Trial 47 finished with value: -0.3235069227727537 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 900, 'learning_rate': 0.00017425626952211352, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0069705980624824426, 'reg_lambda': 4.533482773126795e-06, 'gamma': 14.01928415614869}. Best is trial 39 with value: -0.3315975787582581.
[I 2026-07-14 16:38:15,066] Trial 48 finished with value: -0.3287507822711958 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.00018383211801507234, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00565682775654459, 'reg_lambda': 4.454275021671295e-06, 'gamma': 29.25918663960505}. Best is trial 39 with value: -0.3315975787582581.
