[I 2026-07-14 19:51:29,261] A new study created in RDB with name: my-study
[I 2026-07-14 19:56:48,015] Trial 32 finished with value: -0.06781896034622135 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.46691633666267374, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 2.3977141000394564, 'reg_lambda': 2.752262902754208, 'gamma': 7.356381813609018e-05}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:56:53,523] Trial 33 finished with value: -0.0294203968887811 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.026534586822991008, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 3.0334037668453857, 'reg_lambda': 11.633788709492254, 'gamma': 5.883958050896046e-05}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:56:57,581] Trial 34 finished with value: -0.03169836212413149 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.17508301824986716, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 3.394782919779168, 'reg_lambda': 17.126710694555594, 'gamma': 7.72594092466763e-05}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:01,388] Trial 35 finished with value: -0.03250396544231905 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.19732059830796986, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 4.233355382584638, 'reg_lambda': 5.9045111961649415, 'gamma': 8.415300969431416e-05}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:03,658] Trial 36 finished with value: -0.029249213237361765 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.1485081635681211, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 4.791310513014119, 'reg_lambda': 16.30370185783079, 'gamma': 9.477737045409546e-05}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:06,877] Trial 37 finished with value: -0.029994671596261558 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.16151304059136112, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 7.345842901810916, 'reg_lambda': 16.778308215751288, 'gamma': 6.697743729685826e-05}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:10,702] Trial 38 finished with value: -0.033043041260025385 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.1953190038907272, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 3.4698130159038625, 'reg_lambda': 24.428246386670175, 'gamma': 4.285053595433713e-05}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:17,007] Trial 39 finished with value: -0.048072817961939046 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.22143381835086506, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 2.7843491777198066, 'reg_lambda': 13.516699815557967, 'gamma': 5.3824424381498325e-05}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:21,618] Trial 40 finished with value: -0.04244792486730627 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1200, 'learning_rate': 0.18989200585458305, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 4.190235822851529, 'reg_lambda': 23.27022696788263, 'gamma': 7.606678811083306e-05}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:28,797] Trial 41 finished with value: -0.05185937028201158 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.20805428513775315, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.07488065208248618, 'reg_lambda': 17.98172606008527, 'gamma': 0.00023852259762523778}. Best is trial 32 with value: -0.06781896034622135.
