[I 2026-07-14 21:16:08,649] A new study created in RDB with name: my-study
[I 2026-07-14 21:23:59,960] Trial 36 finished with value: -0.10112478354994582 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.08335821237293879, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.6331589056444746, 'reg_lambda': 0.004228649094875022, 'gamma': 0.007030395459226784}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:24:03,457] Trial 37 finished with value: -0.07456812872993579 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1100, 'learning_rate': 0.06969978012343635, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 1.6821800827128315, 'reg_lambda': 0.005737841252052227, 'gamma': 0.007986765474697418}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:24:17,528] Trial 38 finished with value: -0.1081279140139201 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.07308450055048342, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.007332051829316909, 'reg_lambda': 0.004872202951509806, 'gamma': 0.007365698212490002}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:24:30,685] Trial 39 finished with value: -0.10039085777995846 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1850, 'learning_rate': 0.06430143325911332, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.005674450212247445, 'reg_lambda': 0.0032166750906966104, 'gamma': 0.006449805507474876}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:24:48,367] Trial 40 finished with value: -0.19308460395238528 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.23830241368019778, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.005016198685191344, 'reg_lambda': 0.004815009717943771, 'gamma': 0.004197531417562116}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:25:03,204] Trial 41 finished with value: -0.18224531662754798 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.2284858931931185, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0061506206339119246, 'reg_lambda': 0.00578223452210117, 'gamma': 0.07456693479370455}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:25:17,660] Trial 42 finished with value: -0.18145678513631522 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.24105418247141835, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0029523365992999494, 'reg_lambda': 0.0008973761436130687, 'gamma': 0.07209057276078969}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:25:24,634] Trial 43 finished with value: -0.12097095863147328 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.24714205569910133, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.005825474138070949, 'reg_lambda': 0.0007398727247372542, 'gamma': 0.17352311152317665}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:25:32,307] Trial 44 finished with value: -0.1497397484407501 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1150, 'learning_rate': 0.24084558177839502, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0034803867244663747, 'reg_lambda': 0.0009102282919104252, 'gamma': 0.055361555105807696}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:25:43,677] Trial 45 finished with value: -0.15178530886681282 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.2473824884649631, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.003180390017644523, 'reg_lambda': 0.0007336050877878248, 'gamma': 0.0018242118938481254}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:25:54,522] Trial 46 finished with value: -0.1342801564516359 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.22532205394582608, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00420313383352116, 'reg_lambda': 0.0008491147508577841, 'gamma': 0.08027631973744977}. Best is trial 21 with value: -0.2580588990702375.
[I 2026-07-14 21:25:57,019] Trial 47 finished with value: -0.04867223511536237 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.24287166212171699, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 7.555886158742029, 'reg_lambda': 0.0009743809663359387, 'gamma': 0.10534901582055227}. Best is trial 21 with value: -0.2580588990702375.
