[I 2026-07-14 18:57:35,180] A new study created in RDB with name: my-study
[I 2026-07-14 19:01:51,207] Trial 35 finished with value: -0.1074744864602395 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2600, 'learning_rate': 0.15049361165478423, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.028224598060616318, 'reg_lambda': 0.01218335216286932, 'gamma': 7.732901094614098e-06}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:01:57,419] Trial 36 finished with value: -0.10336753152028799 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.13622613520604854, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.007485645108663346, 'reg_lambda': 0.02268088155249487, 'gamma': 4.98583467356119e-06}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:02:04,298] Trial 37 finished with value: -0.09574143386426773 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.13720364880946206, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.02352302162449471, 'reg_lambda': 0.009532757275396816, 'gamma': 5.566499141211257e-06}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:02:14,385] Trial 38 finished with value: -0.13080385003763434 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.16428204881915737, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.6156321597192955, 'reg_lambda': 0.0004728078763395755, 'gamma': 5.799042805951676e-06}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:02:26,158] Trial 39 finished with value: -0.12896095612423744 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.16872300517774064, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.019612618663317233, 'reg_lambda': 0.013570839683961139, 'gamma': 5.54667756117901e-06}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:02:39,047] Trial 40 finished with value: -0.14065975467132125 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.17947538537480318, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.03555363667241217, 'reg_lambda': 0.00037062283589573217, 'gamma': 6.573434979656848e-06}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:02:53,807] Trial 41 finished with value: -0.13982540792529344 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.19874166992753026, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.28408343479612724, 'reg_lambda': 0.0009150162411631356, 'gamma': 4.605315230956835e-06}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:03:05,000] Trial 42 finished with value: -0.12799929469978802 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.19014124651000017, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.16657587194518422, 'reg_lambda': 0.00023432426187149926, 'gamma': 4.258131430217181e-06}. Best is trial 24 with value: -0.15174074380868094.
[I 2026-07-14 19:03:18,037] Trial 43 finished with value: -0.15781891920161434 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2050, 'learning_rate': 0.2485303774649747, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.17607709834224977, 'reg_lambda': 18.998623247041337, 'gamma': 4.028450955670008e-06}. Best is trial 43 with value: -0.15781891920161434.
[I 2026-07-14 19:03:33,390] Trial 44 finished with value: -0.145693943598441 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.24881136782919436, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.1834620207930773, 'reg_lambda': 0.0004938693535487623, 'gamma': 0.00015984402117938656}. Best is trial 43 with value: -0.15781891920161434.
