[I 2026-07-14 16:32:32,293] A new study created in RDB with name: my-study
[I 2026-07-14 16:53:06,839] Trial 41 finished with value: -0.20345279052592255 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.22088546065457426, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 12.173222519508519, 'reg_lambda': 1.2209709253549437, 'gamma': 0.011769993791709368}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:53:11,784] Trial 42 finished with value: -0.19885338191104418 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.19658714557914067, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 22.80997266467501, 'reg_lambda': 1.4115629068463356, 'gamma': 0.010295270918763815}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:53:17,859] Trial 43 finished with value: -0.20020039158129657 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.19723926040338766, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 15.016706761451829, 'reg_lambda': 0.9067486205075296, 'gamma': 0.04436341126134826}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:53:23,666] Trial 44 finished with value: -0.1992302705210277 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2150, 'learning_rate': 0.18459901969117534, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 16.274623187696438, 'reg_lambda': 0.5939511776033118, 'gamma': 0.03318765541656732}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:53:33,759] Trial 45 finished with value: -0.20984745696763218 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.24312977079111112, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 7.690089272212911, 'reg_lambda': 0.7848172789850008, 'gamma': 0.0397751112008486}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:53:41,689] Trial 46 finished with value: -0.21853339175554892 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.23421983022759005, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 9.946548795972506, 'reg_lambda': 1.107567009366088, 'gamma': 0.0020031435414083667}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:54:01,850] Trial 47 finished with value: -0.38585777105281577 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.23135609844981156, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.010498017839616285, 'reg_lambda': 0.9911311664015395, 'gamma': 0.002131779700775492}. Best is trial 47 with value: -0.38585777105281577.
[I 2026-07-14 16:54:12,577] Trial 48 finished with value: -0.22069802210757145 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.24670563605600102, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 3.8181571084084496, 'reg_lambda': 16.76000363855937, 'gamma': 0.050808883785199536}. Best is trial 47 with value: -0.38585777105281577.
[I 2026-07-14 16:54:32,901] Trial 49 finished with value: -0.362833157899237 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.28926098446972714, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.011711745683898822, 'reg_lambda': 18.852353347457584, 'gamma': 0.05856091677586129}. Best is trial 47 with value: -0.38585777105281577.
[I 2026-07-14 16:54:49,127] Trial 50 finished with value: -0.3229472022902235 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.2957305018566443, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.01236688059251759, 'reg_lambda': 18.395013603242724, 'gamma': 0.05614265946834877}. Best is trial 47 with value: -0.38585777105281577.
[I 2026-07-14 16:55:07,111] Trial 51 finished with value: -0.3556643554300917 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.30861959156957863, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.013885242881386746, 'reg_lambda': 18.819885455252532, 'gamma': 0.002198000679726446}. Best is trial 47 with value: -0.38585777105281577.
[I 2026-07-14 16:55:27,393] Trial 52 finished with value: -0.36248712631188257 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.3289085236331939, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.009681527496341049, 'reg_lambda': 18.09033635145653, 'gamma': 0.0024627857267147104}. Best is trial 47 with value: -0.38585777105281577.
[I 2026-07-14 16:55:51,299] Trial 53 finished with value: -0.3472090118809213 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.35502147250594196, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.009750609941389076, 'reg_lambda': 22.41693456007458, 'gamma': 0.0025581295539738444}. Best is trial 47 with value: -0.38585777105281577.
[I 2026-07-14 16:56:02,110] Trial 54 finished with value: -0.2206447756014076 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.38417422345244373, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.011910912146027552, 'reg_lambda': 17.079494601750316, 'gamma': 0.18883780135516237}. Best is trial 47 with value: -0.38585777105281577.
