[I 2026-07-14 16:42:23,738] A new study created in RDB with name: my-study
[I 2026-07-14 16:51:01,087] Trial 38 finished with value: -0.12159009921326736 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.00021878473195276386, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 98.454550397707, 'reg_lambda': 0.0028063725126287547, 'gamma': 0.0003286998091818014}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:51:06,382] Trial 39 finished with value: -0.12153080701640753 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.00021079129868631285, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 89.7962434296434, 'reg_lambda': 0.0019470017819778588, 'gamma': 0.00035021989187990156}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:51:09,733] Trial 40 finished with value: -0.12724220094756858 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.00018916147645331628, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 87.8874983550348, 'reg_lambda': 0.002430108091813139, 'gamma': 0.00019923630417354975}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:51:14,280] Trial 41 finished with value: -0.12485331296256304 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.00018742841041090934, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 93.378077254489, 'reg_lambda': 0.0009263437146208806, 'gamma': 1.1973014442394567e-06}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:51:18,876] Trial 42 finished with value: -0.1246466461692732 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2450, 'learning_rate': 0.0001871062278481041, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 88.58551653457413, 'reg_lambda': 0.0006240385426771109, 'gamma': 0.04063075829466756}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:51:22,112] Trial 43 finished with value: -0.12873817042768643 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.0001982930315974068, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 37.37398457120033, 'reg_lambda': 0.0034734546360552557, 'gamma': 0.06766626284379516}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:51:27,071] Trial 44 finished with value: -0.12659253299417017 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.00018176935083011003, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 43.37864149555747, 'reg_lambda': 0.0011036760494206378, 'gamma': 0.00045380135622908804}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:51:30,749] Trial 45 finished with value: -0.13000691886674076 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.00015852938243661054, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 80.99350269630897, 'reg_lambda': 0.001605883898630395, 'gamma': 0.0006879551291134486}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:51:34,623] Trial 46 finished with value: -0.135157363311924 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 300, 'learning_rate': 0.00017522554037417603, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.3551988141518794, 'reg_lambda': 0.0005203681351845654, 'gamma': 0.0008344806518634516}. Best is trial 46 with value: -0.135157363311924.
[I 2026-07-14 16:51:37,784] Trial 47 finished with value: -0.13540868135510814 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 300, 'learning_rate': 0.0001517200854161282, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.004297795330358177, 'reg_lambda': 0.00010784767278834636, 'gamma': 0.055448030281433074}. Best is trial 47 with value: -0.13540868135510814.
